name,weighted_pv
勝村政信,21374.03752826432
北乃きい,49539.30776522837
北大路欣也,43179.45840009161
北山宏光,19188.511966442024
北川景子,94860.31820966252
北斗晶,21900.350609348287
北村一輝,85223.58303337292
北村匠海,85198.29995242457
北村有起哉,47197.57179303865
千原ジュニア,29053.701292968988
千秋_(タレント),32551.12420459295
千葉雄大,44308.26330399909
千鳥_(お笑いコンビ),80948.7154380401
南原清隆,25329.692987723745
南果歩,39867.3103760509
南沙良,79898.09941263912
南沢奈央,22599.251377191158
南野陽子,34105.91524576275
博多華丸・大吉,52104.67604870222
厚切りジェイソン,16388.54470474407
原日出子,37017.303562138826
原沙知絵,17421.767750658135
原田泰造,18723.2180678988
原田知世,38674.76525926478
原田美枝子,122771.16357713944
原田龍二,46518.37636504085
原菜乃華,76759.12246874094
又吉直樹,26900.31482149969
及川光博,40797.34263010228
友近,20144.6431915276
反町隆史,59399.67004193045
古川優奈,78949.96362695245
古川琴音,74743.12244194359
古川雄大,41727.20750189247
古川雄輝,18963.662905885838
古田新太,26510.321535237734
古畑星夏,24664.809353856293
古舘伊知郎,19410.973584824755
吉岡秀隆,149182.0756256285
吉岡里帆,76004.46322937273
吉川愛,107053.00378855837
吉川晃司,103221.4559508685
吉村崇,24974.831655762344
吉永小百合,55190.06614786401
吉沢亮,127425.72578173614
吉瀬美智子,40561.23023167961
吉田羊,42748.977723698314
吉田美月喜,3586.397261164937
吉田莉桜,2483.977509273552
吉田鋼太郎,21361.38652245986
吉谷彩子,90674.76202751753
吉高由里子,126774.21555232319
名倉潤,51435.09497054904
名取裕子,24545.226671085115
向井康二,78507.18266354206
向井理,40598.901921683915
吹石一恵,49849.125417987074
吹越満,15802.849533990848
和久井映見,26940.233513461466
和牛_(お笑いコンビ),21926.43213625162
和田アキ子,45236.922939434146
哀川翔,46116.05360074637
唐沢寿明,24406.40208937367
四千頭身,31521.022459770425
国仲涼子,27700.60383275288
国分太一,17898.187577643497
國村隼,25196.15072249194
土屋アンナ,24108.28210382537
土屋太鳳,130207.6022835474
土村芳,22747.439346928604
土田晃之,14114.312585196958
坂ノ上茜,19771.3021436654
坂上忍,21703.763350616446
坂下千里子,19281.459634327686
坂井真紀,19402.70734877038
坂口健太郎,75763.17167476077
坂東龍汰,93464.00692313164
城島茂,18543.62330814623
城田優,23853.395230522412
堀内健,11936.896459060044
堀内敬子,19484.217856799147
堀田真由,133023.16812096094
堀田茜,33981.75564487849
堂本光一,50300.66564105978
堂本剛,67683.46307538927
堤真一,37207.67196145699
堺正章,28637.63293796931
堺雅人,42616.96928840934
塚地武雅,20698.551063411578
塚本高史,33375.086094558974
壇蜜,22930.931858530777
夏川結衣,28973.468206825226
夏帆,141019.83780421104
夏木マリ,24257.758930239885
夏菜,21235.7722036245
多部未華子,47920.94562406118
大久保佳代子,32839.866223539444
大倉孝二,12897.770937183459
