publisher,news_count,score_sum,score_mean,burst_news_count,burst_score_sum,burst_pv_sum,burst_days
THE OWNER,1,1,1.0,0.0,0.0,0.0,0.0
THEATER GIRL,97,136,1.402061855670103,10.0,16.0,34668.0,9.0
TNC テレビ西日本,9,8,0.8888888888888888,1.0,1.0,2285.0,1.0
TOCpress,1,2,2.0,0.0,0.0,0.0,0.0
TOKYO FM,194,103,0.5309278350515464,28.0,14.0,185870.0,25.0
TOKYO FM＋,34,15,0.4411764705882353,2.0,-1.0,5560.0,1.0
TOKYO FRONT LINE,1,2,2.0,0.0,0.0,0.0,0.0
TOKYO MX,40,52,1.3,5.0,9.0,14341.0,3.0
TOKYO POP LINE,3,1,0.3333333333333333,0.0,0.0,0.0,0.0
TORSO JACK,3,4,1.3333333333333333,0.0,0.0,0.0,0.0
TORSO JACK(トルソージャック),2,3,1.5,0.0,0.0,0.0,0.0
TRAICY（トライシー）,5,7,1.4,0.0,0.0,0.0,0.0
TSB マイチャン。テレビ信州,1,0,0.0,0.0,0.0,0.0,0.0
TSC テレビせとうち,2,1,0.5,1.0,0.0,4202.0,1.0
TSUTAYA,6,6,1.0,1.0,2.0,6666.0,1.0
TV Bros. WEB,75,50,0.6666666666666666,13.0,8.0,77973.0,12.0
TV LIFE web,476,499,1.0483193277310925,115.0,130.0,846770.0,72.0
TVO テレビ大阪,254,128,0.5039370078740157,38.0,31.0,142958.0,29.0
TVer,11,4,0.36363636363636365,1.0,0.0,1673.0,1.0
TVガイドWeb,2066,2565,1.2415295256534367,306.0,430.0,2264684.0,146.0
Techinsight Japan,20,6,0.3,3.0,5.0,10401.0,3.0
The Fashion Post,23,30,1.3043478260869565,1.0,3.0,10156.0,1.0
The Liberty Web,1,-2,-2.0,0.0,0.0,0.0,0.0
The Players' Tribune,1,2,2.0,0.0,0.0,0.0,0.0
Time Out Tokyo,19,19,1.0,1.0,1.0,1476.0,1.0
Togetter,150,50,0.3333333333333333,22.0,2.0,321183.0,20.0
Tokyo Art Beat,2,2,1.0,0.0,0.0,0.0,0.0
Tokyo Auto Salon,1,2,2.0,0.0,0.0,0.0,0.0
Trading Card Journal,2,8,4.0,0.0,0.0,0.0,0.0
Trend Micro,1,0,0.0,0.0,0.0,0.0,0.0
TrySail Portal Square,2,2,1.0,0.0,0.0,0.0,0.0
U-NEXT コーポレート,16,21,1.3125,0.0,0.0,0.0,0.0
UHB 北海道文化放送,3,4,1.3333333333333333,0.0,0.0,0.0,0.0
UMKテレビ宮崎,5,5,1.0,1.0,1.0,24036.0,1.0
UNIVERSAL MUSIC JAPAN,63,67,1.0634920634920635,7.0,15.0,101346.0,7.0
UOMO,18,20,1.1111111111111112,0.0,0.0,0.0,0.0
USEN,9,6,0.6666666666666666,1.0,0.0,2564.0,1.0
UUUM株式会社,10,21,2.1,0.0,0.0,0.0,0.0
UtaTen,1200,1571,1.3091666666666666,125.0,166.0,1356568.0,83.0
VAGUE(ヴァーグ),1,1,1.0,0.0,0.0,0.0,0.0
VOCE,206,258,1.2524271844660195,12.0,18.0,66046.0,9.0
VOCO News,1,-4,-4.0,0.0,0.0,0.0,0.0
VOI.ID,3,-4,-1.3333333333333333,0.0,0.0,0.0,0.0
ValuePress!,7,6,0.8571428571428571,0.0,0.0,0.0,0.0
Vogue Japan,67,105,1.5671641791044777,6.0,13.0,70242.0,6.0
WAVAL,1,2,2.0,0.0,0.0,0.0,0.0
WEB CARTOP,5,-1,-0.2,1.0,-1.0,1392.0,1.0
WEBザテレビジョン,2032,1718,0.8454724409448819,314.0,295.0,2218801.0,147.0
WEBニッポン消費者新聞,1,0,0.0,0.0,0.0,0.0,0.0
WEGO ONLINE STORE,3,1,0.3333333333333333,0.0,0.0,0.0,0.0
WIRED.jp,4,2,0.5,0.0,0.0,0.0,0.0
WOWOW,7,4,0.5714285714285714,0.0,0.0,0.0,0.0
WWDJAPAN,94,119,1.2659574468085106,7.0,11.0,110693.0,7.0
WWSチャンネル,162,162,1.0,24.0,20.0,124025.0,20.0
Web Magazine OPENERS,1,1,1.0,0.0,0.0,0.0,0.0
Web-Komachi,2,4,2.0,0.0,0.0,0.0,0.0
WebNewtype,3,4,1.3333333333333333,1.0,2.0,7059.0,1.0
Webikeプラス,2,1,0.5,0.0,0.0,0.0,0.0
Webタウン情報おかやま,4,3,0.75,0.0,0.0,0.0,0.0
Wedge ONLINE,11,11,1.0,0.0,0.0,0.0,0.0
Women's Health,2,1,0.5,1.0,1.0,23418.0,1.0
World Baseball Softball Confederation - wbsc,2,4,2.0,0.0,0.0,0.0,0.0
World-Architects,1,0,0.0,0.0,0.0,0.0,0.0
YBS山梨放送,1,-1,-1.0,0.0,0.0,0.0,0.0
YOUTH TIME JAPAN project web,78,127,1.6282051282051282,5.0,7.0,30472.0,5.0
YOUよっかいち,25,-5,-0.2,0.0,0.0,0.0,0.0
Yahoo!ニュース,366,293,0.8005464480874317,43.0,32.0,434591.0,34.0
ZAKZAK,11,5,0.45454545454545453,0.0,0.0,0.0,0.0
ZDNET Japan,1,0,0.0,0.0,0.0,0.0,0.0
abn 長野朝日放送,2,-1,-0.5,0.0,0.0,0.0,0.0
agrinews.co.jp,3,8,2.6666666666666665,0.0,0.0,0.0,0.0
alco-uj.com,4,5,1.25,0.0,0.0,0.0,0.0
allnightnippon.com,68,31,0.45588235294117646,3.0,7.0,19402.0,3.0
alterna.co.jp,2,1,0.5,0.0,0.0,0.0,0.0
ameblo.jp,13,8,0.6153846153846154,1.0,1.0,4329.0,1.0
amusement-japan.co.jp,3,0,0.0,2.0,-1.0,1871.0,2.0
anahd.co.jp,1,3,3.0,0.0,0.0,0.0,0.0
ananweb,94,121,1.2872340425531914,11.0,15.0,58176.0,9.0
anemo（アネモ）,103,148,1.4368932038834952,14.0,23.0,252645.0,13.0
anna（アンナ）,8,1,0.125,1.0,2.0,13125.0,1.0
aoi-pro.com,21,19,0.9047619047619048,0.0,0.0,0.0,0.0
appbank.net,130,129,0.9923076923076923,6.0,9.0,35040.0,6.0
arabnews.jp,4,5,1.25,3.0,2.0,14108.0,3.0
arban-mag.com,2,2,1.0,0.0,0.0,0.0,0.0
as-elfen.co.jp,1,1,1.0,0.0,0.0,0.0,0.0
asagei.biz,134,-150,-1.1194029850746268,14.0,-25.0,185743.0,14.0
asageiMUSE,164,-51,-0.31097560975609756,12.0,-11.0,160899.0,11.0
asatan.com,6,-2,-0.3333333333333333,0.0,0.0,0.0,0.0
at-living.press,1,2,2.0,0.0,0.0,0.0,0.0
at-s.com,27,-5,-0.18518518518518517,6.0,0.0,10493.0,6.0
ath-v.com,1,1,1.0,0.0,0.0,0.0,0.0
au Webポータル,328,-28,-0.08536585365853659,34.0,-2.0,397186.0,30.0
autobacs.co.jp,1,2,2.0,0.0,0.0,0.0,0.0
autosport web,2,1,0.5,0.0,0.0,0.0,0.0
axismag.jp,1,0,0.0,0.0,0.0,0.0,0.0
baby-babys.com,1,-1,-1.0,0.0,0.0,0.0,0.0
banger.jp,93,131,1.4086021505376345,14.0,19.0,212077.0,11.0
bb-navi.com,539,366,0.6790352504638218,37.0,26.0,267447.0,28.0
bcnretail.com,10,11,1.1,1.0,2.0,21254.0,1.0
bengo4.com,7,-12,-1.7142857142857142,1.0,-1.0,6169.0,1.0
bestcarweb.jp,7,-5,-0.7142857142857143,0.0,0.0,0.0,0.0
bezzy.jp,192,104,0.5416666666666666,13.0,18.0,41165.0,10.0
bizSPA!,20,4,0.2,1.0,-1.0,707.0,1.0
bleague.jp,4,2,0.5,0.0,0.0,0.0,0.0
bodybook.jp,1,0,0.0,0.0,0.0,0.0,0.0
boxmob.jp,1,0,0.0,0.0,0.0,0.0,0.0
brasilnippou.com,3,7,2.3333333333333335,0.0,0.0,0.0,0.0
bs10.jp,6,9,1.5,0.0,0.0,0.0,0.0
bs4.jp,51,35,0.6862745098039216,6.0,0.0,26756.0,6.0
bunkanews.jp,2,4,2.0,1.0,1.0,7610.0,1.0
butters.jp,2,0,0.0,0.0,0.0,0.0,0.0
capcom-games.com,1,2,2.0,2.0,4.0,6840.0,2.0
carview!,7,12,1.7142857142857142,0.0,0.0,0.0,0.0
ch FILES,19,18,0.9473684210526315,0.0,0.0,0.0,0.0
chorioka.com,20,19,0.95,4.0,5.0,24685.0,3.0
chugai-pharm.co.jp,1,1,1.0,0.0,0.0,0.0,0.0
chuo-u.ac.jp,1,0,0.0,0.0,0.0,0.0,0.0
ciatr[シアター],9,5,0.5555555555555556,0.0,0.0,0.0,0.0
cinema-life.net,236,324,1.3728813559322033,24.0,34.0,186294.0,21.0
cinemacafe.net,2181,2822,1.2939018798716184,242.0,379.0,2772030.0,129.0
cinemarche.net,257,58,0.22568093385214008,9.0,-2.0,35448.0,8.0
city.atsugi.kanagawa.jp,1,0,0.0,0.0,0.0,0.0,0.0
city.chino.lg.jp,1,5,5.0,1.0,5.0,9434.0,1.0
city.ena.lg.jp,4,-4,-1.0,0.0,0.0,0.0,0.0
city.fukuoka.lg.jp,1,0,0.0,0.0,0.0,0.0,0.0
city.fukuyama.hiroshima.jp,1,0,0.0,0.0,0.0,0.0,0.0
city.hitachinaka.lg.jp,1,2,2.0,0.0,0.0,0.0,0.0
city.kikuchi.lg.jp,2,0,0.0,0.0,0.0,0.0,0.0
city.kitahiroshima.hokkaido.jp,1,0,0.0,0.0,0.0,0.0,0.0
city.kitakyushu.lg.jp,4,0,0.0,0.0,0.0,0.0,0.0
city.kobe.lg.jp,1,1,1.0,0.0,0.0,0.0,0.0
city.koshigaya.saitama.jp,2,3,1.5,0.0,0.0,0.0,0.0
city.mitoyo.lg.jp,1,2,2.0,0.0,0.0,0.0,0.0
city.nagoya.jp,1,1,1.0,1.0,1.0,14362.0,1.0
city.shinagawa.tokyo.jp,1,1,1.0,0.0,0.0,0.0,0.0
city.taketa.oita.jp,1,0,0.0,0.0,0.0,0.0,0.0
city.tokamachi.lg.jp,1,1,1.0,0.0,0.0,0.0,0.0
city.toride.ibaraki.jp,3,3,1.0,1.0,0.0,5743.0,1.0
clicccar.com,1,1,1.0,0.0,0.0,0.0,0.0
cocokara-next.com,11,2,0.18181818181818182,0.0,0.0,0.0,0.0
coconutsjapan.com,357,37,0.10364145658263306,45.0,16.0,511844.0,39.0
colocal.jp,3,4,1.3333333333333333,0.0,0.0,0.0,0.0
column.sp.baseball.findfriends.jp,18,9,0.5,3.0,3.0,11572.0,3.0
concent-f.jp,1,0,0.0,0.0,0.0,0.0,0.0
coolkagawa.jp,6,4,0.6666666666666666,1.0,1.0,2003.0,1.0
corocoro-news.jp,3,5,1.6666666666666667,1.0,2.0,4302.0,1.0
corp.world.co.jp,2,3,1.5,0.0,0.0,0.0,0.0
corriente.jp,1,5,5.0,0.0,0.0,0.0,0.0
criacao.co.jp,2,2,1.0,0.0,0.0,0.0,0.0
csa.gr.jp,5,3,0.6,0.0,0.0,0.0,0.0
cyber-z.co.jp,1,0,0.0,1.0,0.0,1491.0,1.0
cyberagent.co.jp,10,18,1.8,4.0,7.0,27358.0,4.0
cyclowired.jp,6,1,0.16666666666666666,0.0,0.0,0.0,0.0
da-ice.jp,3,4,1.3333333333333333,0.0,0.0,0.0,0.0
daihatsu.co.jp,3,0,0.0,0.0,0.0,0.0,0.0
dailynewsonline.jp,54,-33,-0.6111111111111112,4.0,-6.0,11574.0,3.0
dailyshincho.jp,7,-1,-0.14285714285714285,0.0,0.0,0.0,0.0
daisen.jp,1,2,2.0,0.0,0.0,0.0,0.0
danmee.jp,4,3,0.75,0.0,0.0,0.0,0.0
data-max.co.jp,1,-1,-1.0,0.0,0.0,0.0,0.0
ddnavi.com,34,45,1.3235294117647058,5.0,9.0,50428.0,5.0
dengekionline.com,18,25,1.3888888888888888,3.0,4.0,18171.0,3.0
dews365.com,2,2,1.0,0.0,0.0,0.0,0.0
dip-net.co.jp,2,2,1.0,0.0,0.0,0.0,0.0
dish-web.com,1,3,3.0,0.0,0.0,0.0,0.0
dm-net.co.jp,1,0,0.0,0.0,0.0,0.0,0.0
domingo.ne.jp,1,0,0.0,1.0,0.0,3440.0,1.0
donga.com,1,-2,-2.0,0.0,0.0,0.0,0.0
dorama9.com,68,15,0.22058823529411764,22.0,7.0,127250.0,16.0
dpost.jp,1,0,0.0,0.0,0.0,0.0,0.0
dragonquest.jp,1,2,2.0,0.0,0.0,0.0,0.0
dressy.pla-cole.wedding,75,60,0.8,10.0,16.0,310593.0,9.0
e-talentbank.co.jp,690,720,1.0434782608695652,67.0,70.0,617156.0,51.0
eJudo,3,5,1.6666666666666667,1.0,0.0,1805.0,1.0
edgeline-tokyo.com,474,394,0.8312236286919831,48.0,32.0,322426.0,40.0
efight.jp,18,13,0.7222222222222222,1.0,1.0,5814.0,1.0
ejapion.com,1,-1,-1.0,0.0,0.0,0.0,0.0
ele-king,4,1,0.25,0.0,0.0,0.0,0.0
eltha,28,22,0.7857142857142857,3.0,5.0,6651.0,2.0
emmary.jp,25,34,1.36,9.0,16.0,97018.0,7.0
enbu.co.jp,92,145,1.576086956521739,9.0,18.0,34273.0,9.0
encourage-s.jp,17,26,1.5294117647058822,5.0,11.0,51390.0,3.0
ensoku!,1,2,2.0,0.0,0.0,0.0,0.0
entafukuzou.com,1,0,0.0,0.0,0.0,0.0,0.0
entameplex.com,26,29,1.1153846153846154,4.0,2.0,20734.0,3.0
entax,372,232,0.6236559139784946,90.0,58.0,879615.0,48.0
enuchi.jp,1,1,1.0,0.0,0.0,0.0,0.0
env.go.jp,1,0,0.0,0.0,0.0,0.0,0.0
evilamag.com,3,5,1.6666666666666667,1.0,3.0,7159.0,1.0
fagiano-okayama.com,1,1,1.0,0.0,0.0,0.0,0.0
family.co.jp,6,7,1.1666666666666667,1.0,1.0,7861.0,1.0
fashionmarketingjournal.com,9,12,1.3333333333333333,0.0,0.0,0.0,0.0
fashionsnap.com,212,171,0.8066037735849056,26.0,24.0,425930.0,22.0
fast-tokyo.com,29,50,1.7241379310344827,4.0,8.0,63072.0,3.0
financepensionrealestate.work,1,1,1.0,0.0,0.0,0.0,0.0
football-zone.net,4,4,1.0,0.0,0.0,0.0,0.0
footballista,3,3,1.0,0.0,0.0,0.0,0.0
fortune-girl.com,4,6,1.5,0.0,0.0,0.0,0.0
fphime.biz,2,0,0.0,0.0,0.0,0.0,0.0
fufc.jp,1,1,1.0,0.0,0.0,0.0,0.0
fujitv.co.jp,155,115,0.7419354838709677,46.0,47.0,286989.0,28.0
fukuoka-u.ac.jp,4,-4,-1.0,0.0,0.0,0.0,0.0
full-count.jp,157,184,1.1719745222929936,21.0,33.0,137961.0,11.0
funq.jp,5,4,0.8,0.0,0.0,0.0,0.0
gaga.ne.jp,4,4,1.0,0.0,0.0,0.0,0.0
galpo.info,15,21,1.4,0.0,0.0,0.0,0.0
gamebiz.jp,16,21,1.3125,0.0,0.0,0.0,0.0
gamereactor.jp,1,-3,-3.0,0.0,0.0,0.0,0.0
gendai.media,10,-3,-0.3,0.0,0.0,0.0,0.0
gew.co.jp,1,2,2.0,0.0,0.0,0.0,0.0
giants.jp,15,6,0.4,1.0,0.0,1993.0,1.0
gkp-koushiki.gakken.jp,1,0,0.0,0.0,0.0,0.0,0.0
glitter-official.com,13,26,2.0,2.0,2.0,19153.0,2.0
global.toshiba,1,1,1.0,0.0,0.0,0.0,0.0
golfdigest-minna.jp,2,2,1.0,0.0,0.0,0.0,0.0
golfsapuri.com,2,2,1.0,0.0,0.0,0.0,0.0
goo-net.com,2,3,1.5,0.0,0.0,0.0,0.0
goo.ne.jp,1,2,2.0,0.0,0.0,0.0,0.0
grapee.jp,373,433,1.160857908847185,94.0,137.0,2487184.0,60.0
gurutto-fukushima.com,1,0,0.0,0.0,0.0,0.0,0.0
gyouseinews.com,2,-1,-0.5,0.0,0.0,0.0,0.0
haagen-dazs.co.jp,1,2,2.0,0.0,0.0,0.0,0.0
harpersbazaar.com,1,0,0.0,0.0,0.0,0.0,0.0
hasegawahitomi.com,1,0,0.0,0.0,0.0,0.0,0.0
haveagood.holiday,3,2,0.6666666666666666,1.0,1.0,7965.0,1.0
hawaii-arukikata.com,1,2,2.0,0.0,0.0,0.0,0.0
hicbc.com,14,21,1.5,1.0,1.0,6787.0,1.0
highflyers.nu,3,7,2.3333333333333335,0.0,0.0,0.0,0.0
hiroshima-u.ac.jp,2,-1,-0.5,0.0,0.0,0.0,0.0
hit-u.ac.jp,2,-1,-0.5,0.0,0.0,0.0,0.0
hobby Watch,17,17,1.0,1.0,1.0,5924.0,1.0
hokeniryo.metro.tokyo.lg.jp,1,2,2.0,0.0,0.0,0.0,0.0
hokudaishinbun.com,1,0,0.0,0.0,0.0,0.0,0.0
holdings.toppan.com,2,3,1.5,0.0,0.0,0.0,0.0
honda.co.jp,1,1,1.0,0.0,0.0,0.0,0.0
houyhnhnm.jp,12,8,0.6666666666666666,2.0,2.0,19041.0,2.0
hpc-news.co.jp,19,29,1.5263157894736843,3.0,4.0,29886.0,2.0
hypebeast.com,15,10,0.6666666666666666,1.0,2.0,33592.0,1.0
iFLYER,5,4,0.8,0.0,0.0,0.0,0.0
iPhone Mania,5,6,1.2,0.0,0.0,0.0,0.0
id.emb-japan.go.jp,1,0,0.0,0.0,0.0,0.0,0.0
ideanews.jp,1,2,2.0,0.0,0.0,0.0,0.0
imaonline.jp,5,4,0.8,0.0,0.0,0.0,0.0
imozawa.blog.jp,1,-2,-2.0,0.0,0.0,0.0,0.0
indienative,1,0,0.0,0.0,0.0,0.0,0.0
internetcom.jp,1,0,0.0,0.0,0.0,0.0,0.0
intro.ne.jp,1,0,0.0,0.0,0.0,0.0,0.0
irisohyama.co.jp,2,4,2.0,0.0,0.0,0.0,0.0
itochu.co.jp,1,-1,-1.0,0.0,0.0,0.0,0.0
j-wave.co.jp,31,33,1.064516129032258,8.0,9.0,11593.0,7.0
jaaf.or.jp,2,0,0.0,0.0,0.0,0.0,0.0
japan-baseball.jp,1,2,2.0,1.0,2.0,15971.0,1.0
japan-indepth.jp,1,-1,-1.0,0.0,0.0,0.0,0.0
japandesign.ne.jp,2,0,0.0,0.0,0.0,0.0,0.0
japanheart.org,1,2,2.0,0.0,0.0,0.0,0.0
jaras-web.net,16,27,1.6875,2.0,5.0,6099.0,2.0
jetro.go.jp,2,2,1.0,0.0,0.0,0.0,0.0
jetstream.buzz,1,-1,-1.0,0.0,0.0,0.0,0.0
jica.go.jp,1,0,0.0,0.0,0.0,0.0,0.0
jleague.jp,3,5,1.6666666666666667,1.0,1.0,939.0,1.0
jocr.jp,89,99,1.1123595505617978,8.0,11.0,77265.0,7.0
joetsutj.com,2,5,2.5,0.0,0.0,0.0,0.0
jsports.co.jp,1,2,2.0,1.0,2.0,46603.0,1.0
jukushin.com,4,1,0.25,0.0,0.0,0.0,0.0
jungle.ne.jp,1,0,0.0,0.0,0.0,0.0,0.0
jwa.or.jp,1,0,0.0,0.0,0.0,0.0,0.0
kakaku.com,2,2,1.0,0.0,0.0,0.0,0.0
kansai-u.ac.jp,1,0,0.0,0.0,0.0,0.0,0.0
karatedo.co.jp,1,0,0.0,0.0,0.0,0.0,0.0
ken-on.co.jp,37,62,1.6756756756756757,5.0,9.0,32750.0,5.0
kentaku.co.jp,1,1,1.0,0.0,0.0,0.0,0.0
khb東日本放送,14,27,1.9285714285714286,2.0,5.0,12817.0,2.0
kkbox.com,5,3,0.6,0.0,0.0,0.0,0.0
kochinews.co.jp,23,34,1.4782608695652173,2.0,4.0,25518.0,2.0
korepo.com,16,22,1.375,2.0,5.0,9290.0,2.0
ktn.co.jp,8,6,0.75,1.0,0.0,1222.0,1.0
ktv.jp,18,5,0.2777777777777778,9.0,5.0,88673.0,5.0
kufura.jp,6,0,0.0,1.0,0.0,3243.0,1.0
kumagaigumi.co.jp,1,1,1.0,0.0,0.0,0.0,0.0
kunaicho.go.jp,1,0,0.0,0.0,0.0,0.0,0.0
kuriyama-holdings.com,1,1,1.0,1.0,1.0,2374.0,1.0
kyoiku-press.com,1,0,0.0,0.0,0.0,0.0,0.0
kyoto-su.ac.jp,2,0,0.0,0.0,0.0,0.0,0.0
kyotopi.jp,5,10,2.0,0.0,0.0,0.0,0.0
kyushu-u.ac.jp,1,-1,-1.0,1.0,-1.0,982.0,1.0
lee.hpplus.jp,83,101,1.216867469879518,15.0,22.0,157082.0,14.0
letskendo.com,1,0,0.0,0.0,0.0,0.0,0.0
lite-ra.com,1,-2,-2.0,0.0,0.0,0.0,0.0
liv-plus.jp,1,-3,-3.0,0.0,0.0,0.0,0.0
lmusic.tokyo,6,11,1.8333333333333333,0.0,0.0,0.0,0.0
locipo.jp,295,114,0.3864406779661017,23.0,13.0,105744.0,21.0
lomore.net,2,1,0.5,0.0,0.0,0.0,0.0
lovinkproject.com,2,1,0.5,0.0,0.0,0.0,0.0
lrnc.cc,1,1,1.0,0.0,0.0,0.0,0.0
lurenewsr.com,9,-1,-0.1111111111111111,0.0,0.0,0.0,0.0
madameFIGARO.jp,54,49,0.9074074074074074,2.0,2.0,16787.0,2.0
maemuki-malco.com,7,1,0.14285714285714285,1.0,0.0,6882.0,1.0
maff.go.jp,1,2,2.0,0.0,0.0,0.0,0.0
maidigitv.jp,380,327,0.8605263157894737,49.0,52.0,254848.0,36.0
majan.co.jp,1,2,2.0,0.0,0.0,0.0,0.0
mamagirl [ママガール],17,24,1.411764705882353,1.0,2.0,11746.0,1.0
mamatalk,1,2,2.0,0.0,0.0,0.0,0.0
marie claire [マリ･クレール],33,44,1.3333333333333333,3.0,5.0,47031.0,3.0
matsuyafoods.co.jp,1,2,2.0,0.0,0.0,0.0,0.0
mbp-japan.com,4,-3,-0.75,0.0,0.0,0.0,0.0
mdn.co.jp,11,13,1.1818181818181819,0.0,0.0,0.0,0.0
media-innovation.jp,2,3,1.5,1.0,2.0,3290.0,1.0
megabrasil.jp,2,2,1.0,0.0,0.0,0.0,0.0
meijigakuin.ac.jp,1,0,0.0,0.0,0.0,0.0,0.0
meijo-u.ac.jp,1,0,0.0,0.0,0.0,0.0,0.0
mhlw.go.jp,2,1,0.5,0.0,0.0,0.0,0.0
mi-mollet（ミモレ）,104,124,1.1923076923076923,20.0,30.0,259895.0,12.0
middle-edge.jp,10,-2,-0.2,2.0,1.0,1529.0,2.0
miruhon.net,1,0,0.0,0.0,0.0,0.0,0.0
misia.jp,1,2,2.0,0.0,0.0,0.0,0.0
mito-hollyhock.net,1,1,1.0,0.0,0.0,0.0,0.0
mitsuifudosan.co.jp,1,2,2.0,0.0,0.0,0.0,0.0
mofa.go.jp,1,1,1.0,2.0,2.0,11346.0,2.0
monkey1119.com,4,1,0.25,0.0,0.0,0.0,0.0
monogatari.co.jp,1,2,2.0,1.0,2.0,1123.0,1.0
monomax.jp,4,8,2.0,0.0,0.0,0.0,0.0
more.hpplus.jp,113,169,1.4955752212389382,8.0,4.0,61666.0,7.0
motion-gallery.net,7,22,3.142857142857143,0.0,0.0,0.0,0.0
motoei.com,1,2,2.0,0.0,0.0,0.0,0.0
motomegane.com,2,2,1.0,0.0,0.0,0.0,0.0
motor-fan.jp,6,-4,-0.6666666666666666,0.0,0.0,0.0,0.0
motorsport.com 日本版｜モータースポーツ情報サイト,3,3,1.0,1.0,1.0,6452.0,1.0
musicguide.jp,14,11,0.7857142857142857,0.0,0.0,0.0,0.0
musubie.org,1,1,1.0,0.0,0.0,0.0,0.0
myfuna.net,4,0,0.0,0.0,0.0,0.0,0.0
nack5.co.jp,6,5,0.8333333333333334,0.0,0.0,0.0,0.0
nagoyatv.com,19,11,0.5789473684210527,1.0,0.0,8441.0,1.0
nankainn.com,4,1,0.25,0.0,0.0,0.0,0.0
navicon.jp,300,258,0.86,46.0,33.0,405411.0,34.0
nbs-tv.co.jp,10,18,1.8,2.0,3.0,10053.0,2.0
ncvc.go.jp,1,0,0.0,0.0,0.0,0.0,0.0
neol.jp,9,-6,-0.6666666666666666,0.0,0.0,0.0,0.0
netkeiba,18,9,0.5,2.0,1.0,7283.0,1.0
netkeirin,11,8,0.7272727272727273,1.0,1.0,1633.0,1.0
news.awa.fm,2,-1,-0.5,0.0,0.0,0.0,0.0
news.j-wave.co.jp,5,7,1.4,1.0,2.0,5897.0,1.0
news.jsports.co.jp,8,10,1.25,2.0,4.0,38209.0,2.0
newscafe.ne.jp,6,-3,-0.5,0.0,0.0,0.0,0.0
newscast.jp,127,126,0.9921259842519685,12.0,13.0,63429.0,12.0
newspicks.com,3,1,0.3333333333333333,0.0,0.0,0.0,0.0
nfreaks.jp,5,9,1.8,2.0,0.0,4823.0,2.0
nhk.or.jp,52,40,0.7692307692307693,15.0,20.0,79911.0,7.0
nicheee.com,4,1,0.25,0.0,0.0,0.0,0.0
nikkansports.com,4461,4110,0.9213180901143242,989.0,943.0,10093871.0,197.0
nikkei.co.jp,2,2,1.0,0.0,0.0,0.0,0.0
nikkinonline.com,3,1,0.3333333333333333,0.0,0.0,0.0,0.0
nippon.com,13,22,1.6923076923076923,0.0,0.0,0.0,0.0
nipponexpress-holdings.com,1,0,0.0,0.0,0.0,0.0,0.0
nittaku.com,4,0,0.0,0.0,0.0,0.0,0.0
njpw.co.jp,5,0,0.0,0.0,0.0,0.0,0.0
nli-research.co.jp,1,-1,-1.0,0.0,0.0,0.0,0.0
no-vice.jp,1,1,1.0,0.0,0.0,0.0,0.0
note,25,8,0.32,2.0,1.0,15719.0,2.0
nouson-n.com,1,0,0.0,0.0,0.0,0.0,0.0
obayashi.co.jp,1,0,0.0,0.0,0.0,0.0,0.0
oceana.ne.jp,3,6,2.0,0.0,0.0,0.0,0.0
octoba.net,1,0,0.0,0.0,0.0,0.0,0.0
ongakunojouhou.com,3,-3,-1.0,0.0,0.0,0.0,0.0
orionbeer.co.jp,1,1,1.0,0.0,0.0,0.0,0.0
osaka style,20,25,1.25,3.0,7.0,16342.0,3.0
otalab.net,1,0,0.0,0.0,0.0,0.0,0.0
otocoto,461,384,0.8329718004338394,33.0,36.0,228001.0,29.0
panora.tokyo,6,7,1.1666666666666667,1.0,1.0,18509.0,1.0
parismag.jp,2,2,1.0,0.0,0.0,0.0,0.0
pen-online.jp,1,0,0.0,0.0,0.0,0.0,0.0
perfectworld.tokyo,1,1,1.0,0.0,0.0,0.0,0.0
persol-group.co.jp,3,4,1.3333333333333333,0.0,0.0,0.0,0.0
pff.jp,3,5,1.6666666666666667,0.0,0.0,0.0,0.0
player.jp,2,2,1.0,0.0,0.0,0.0,0.0
pointed.jp,5,3,0.6,0.0,0.0,0.0,0.0
popnroll.tv,9,-2,-0.2222222222222222,0.0,0.0,0.0,0.0
pref.aichi.jp,1,0,0.0,0.0,0.0,0.0,0.0
pref.chiba.lg.jp,1,1,1.0,0.0,0.0,0.0,0.0
pref.hiroshima.lg.jp,5,7,1.4,0.0,0.0,0.0,0.0
pref.hyogo.lg.jp,1,1,1.0,0.0,0.0,0.0,0.0
pref.kagawa.lg.jp,1,0,0.0,0.0,0.0,0.0,0.0
pref.kagoshima.jp,1,3,3.0,0.0,0.0,0.0,0.0
pref.kyoto.jp,1,-1,-1.0,0.0,0.0,0.0,0.0
pref.miyagi.jp,1,2,2.0,0.0,0.0,0.0,0.0
pref.miyazaki.lg.jp,1,3,3.0,0.0,0.0,0.0,0.0
pref.niigata.lg.jp,5,10,2.0,0.0,0.0,0.0,0.0
pref.saitama.lg.jp,1,0,0.0,0.0,0.0,0.0,0.0
pref.shizuoka.jp,1,-1,-1.0,0.0,0.0,0.0,0.0
pref.wakayama.lg.jp,1,0,0.0,0.0,0.0,0.0,0.0
project-index.jp,1,2,2.0,0.0,0.0,0.0,0.0
r-yuuki.jp,3,2,0.6666666666666666,0.0,0.0,0.0,0.0
radionikkei.jp,4,4,1.0,0.0,0.0,0.0,0.0
