name,人気度,知名度,DA,BR(順),BR(逆)
柿澤勇人,1.8,19.5,15888,5.68E-05,0.0001436530609
賀来賢人,35.2,85.1,44465,0.002200281926,0.001420794168
角田晃広,22.3,74.2,16582,6.76E-05,0.0004396171696
筧利夫,14.7,78.2,2952,2.47E-05,9.07E-05
風間俊介,31,87.6,35312,0.0007367423544,0.0009000724644
笠松将,2.7,27.3,16686,4.13E-05,5.17E-05
梶原善,8.5,54.7,5257,4.10E-06,5.14E-06
春日俊彰,23.9,96.6,15746,0.000681337757,0.0001705900962
カズレーザー,34,96.8,27863,0.0003097442253,0.000145621747
加瀬亮,10.3,59.3,20300,0.0003161098912,0.0002406525242
片岡愛之助,11.9,85.1,352,1.84E-08,2.30E-08
片桐仁,11.9,72,5061,3.80E-06,4.76E-06
片寄涼太,4.8,46,16183,0.0008106741549,0.0001255328622
勝地涼,7.1,78.2,3934,0.0001609784769,1.74E-05
勝俣州和,12.2,87.1,8271,0.0001315357132,0.0003569623651
勝村政信,13.6,80.2,5840,4.61E-05,0.0001139947755
加藤浩次,21.6,92.7,16059,6.42E-05,0.0001842909089
加藤清史郎,9.9,74.5,6288,6.87E-05,5.81E-05
加藤諒,12.7,87.8,9064,1.22E-05,1.53E-05
香取慎吾,25,95.9,10126,0.0003321057337,0.00107857832
要潤,16.8,86,6513,6.30E-06,7.88E-06
金子大地,1.2,12.9,4118,2.52E-06,3.15E-06
金子ノブアキ,6.7,43.7,9896,1.45E-05,1.82E-05
川平慈英,14.5,88.3,5798,1.46E-05,0.000103103439
神尾楓珠,7.3,37.5,48281,0.001151994742,0.004872122229
上川隆也,17.3,73.1,14452,6.84E-05,0.0006498995861
神木隆之介,32.9,88.3,51780,0.001846359221,0.005455457825
上地雄輔,10.8,87.4,16498,0.0003924442802,0.0001972187701
亀梨和也,19.1,92.6,56906,0.001509372635,0.007926219576
唐沢寿明,31.2,87.3,9176,0.0004036929382,0.0005179659391
河合郁人,15.8,65,19945,7.46E-05,8.24E-05
川島明,28.1,87.3,29616,0.0001560428591,0.0004877595031
神田正輝,6.7,77.3,80658,0.004502726017,0.001307791617
カンニング竹山,16.3,94.3,28815,0.001214706847,0.0006605760637
菊池風磨,25,68.1,49586,0.0009477250234,0.004453209168
岸優太,21.4,64.6,9171,0.0001696936532,0.0001146186708
岸谷五朗,13.6,76.5,5858,4.38E-05,5.55E-05
岸部一徳,22.1,88.1,8708,4.53E-05,0.0002078434177
北大路欣也,26.4,90.1,12679,2.39E-05,2.99E-05
北村一輝,25.8,85.8,12889,0.0001942136678,0.0001378487579
北村匠海,24.8,74,42791,0.001295113666,0.002844262176
北村有起哉,7.1,48.8,14921,0.0001149530568,0.0001188905999
北山宏光,5.1,60.2,9586,4.07E-05,0.000109163517
吉川晃司,20,79.6,23032,0.0002769401656,0.0008436370648
木梨憲武,27.3,93.3,9703,0.0004778402004,0.0006920616875
木村昴,17.3,67.8,96546,0.001383702949,0.001732449884
木村拓哉,34.2,98.2,35582,0.001565686809,0.007379768738
桐谷健太,25.8,90.1,12535,2.47E-05,0.0001660733096
桐山漣,4.6,28.3,8350,3.14E-05,1.70E-05
草刈正雄,25.1,88.7,99601,0.00150446902,0.001849078812
草彅剛,24.4,94.3,25127,0.0006012325057,0.0005778495551
くっきー!,18.6,89,16540,0.0002287621631,0.0003575498334
工藤阿須加,12.4,63.7,7638,8.66E-06,1.08E-05
國村隼,16.6,81.9,7130,7.55E-06,9.45E-06
窪田正孝,21.2,80,15326,0.001800712927,0.0001114590505
黒羽麻璃央,1.1,10.8,8726,0.0001622256942,1.43E-05
桑田佳祐,45.3,92.9,32268,0.001242037513,0.005246729846
劇団ひとり,26.9,94,13838,0.000858857223,0.00046688122
ケンドーコバヤシ,23,91.9,33677,0.001449525408,0.001280133447
小池徹平,15,86.9,10701,0.0001129215899,2.22E-05
小泉孝太郎,20.9,92.4,27770,0.001660342453,0.001020152916
郷ひろみ,17.5,93.5,60850,0.002375624175,0.002702980045
高良健吾,10.6,54,12843,0.0002220130676,0.0004484638461
国分太一,22.3,94,4176,2.07E-05,0.0001146005156
児嶋一哉,26.9,90.8,5530,0.0001326725882,0.0001812997865
小関裕太,5,37.2,14027,0.000137625617,0.0002415019585
小瀧望,4.6,25.1,4907,7.03E-05,9.46E-06
小手伸也,13.5,74.5,10666,1.69E-05,2.11E-05
後藤輝基,21.9,90.1,13847,0.000123158361,0.0003071043495
小峠英二,34.2,95.4,20767,0.0003759365886,0.0004543997621
小林薫,16.5,74,18370,0.0001194480019,0.0006055747917
小日向文世,33.1,89.6,13004,3.54E-05,0.0001537652584
駒木根葵汰,0.4,3.4,24003,0.0001899901586,0.0001224039475
小宮浩信,10.6,75.9,3578,1.90E-06,2.38E-06
小宮璃央,1.2,8.8,4236,9.73E-05,0.0001217842784
小籔千豊,12.7,88,13447,0.0001564469198,0.0003704674739
今野浩喜,7.6,71,6560,3.55E-05,0.0001331958499
斎藤工,27.8,89,15284,0.0001258741391,0.000315431935
堺正章,15.2,92.9,24296,0.0001047116542,0.0004640517086
堺雅人,31,89.9,43616,0.001362626637,0.001070399907
坂上忍,10.8,95,9272,0.000210173685,0.0001840507327
坂口健太郎,25.8,81.2,19641,0.0002642197618,0.000455750366
櫻井海音,1.4,12,43804,0.0004405908622,0.000411829182
櫻井翔,36.1,96.5,18545,0.0003214893869,0.002061454893
桜田通,1.6,11.5,5792,9.62E-06,8.49E-06
佐々木蔵之介,23.9,85.1,15489,9.82E-05,0.0003306872622
笹野高史,24.4,89,4723,4.73E-05,8.40E-05
佐藤寛太,0.5,11.3,3860,3.77E-05,4.45E-05
佐藤浩市,25.1,86.4,12569,0.0002814572515,0.0007852502871
佐藤勝利,10.6,51.3,7723,7.39E-05,7.97E-05
佐藤二朗,33.6,86.9,11534,6.03E-05,0.0003314514976
佐藤大樹,1.2,13.6,28,1.16E-10,1.46E-10
佐藤健,37.9,86.9,129,2.47E-09,3.09E-09
佐藤隆太,24.1,89.6,6341,0.0001208320734,0.0002746910485
佐野史郎,10.8,85.8,11822,4.47E-05,6.29E-05
佐野勇斗,8.5,35.8,22764,0.0001672131102,0.0001927502692
澤部佑,27.1,93.5,7858,2.22E-05,0.000119604294
沢村一樹,27.1,86.7,13944,7.59E-05,9.91E-05
サンシャイン池崎,21.4,91.5,9967,1.99E-05,2.52E-05
椎名桔平,22.1,83.7,20416,0.0001307715955,0.0004199831559
ジェシー_(アイドル),12,58.1,29891,0.001001094476,0.0002153814637
重岡大毅,8.1,49.9,15995,0.000166289736,0.000214905521
志尊淳,17.3,69.7,93470,0.003012932564,0.006824676901
設楽統,35.2,93.3,8501,0.0002672829423,0.0003438663547
清水尋也,1.4,19.3,12584,2.35E-05,2.94E-05
春風亭昇太,16.1,88.5,8551,1.32E-05,0.0001242110725
城島茂,25.1,94.2,4160,1.75E-05,9.93E-05
笑福亭鶴瓶,30.4,96.5,16451,0.001238200931,0.001441184911
白濱亜嵐,6.4,51.9,8024,0.0001117551209,0.0003641488795
城田優,12.6,83.9,53050,0.0006149346869,0.002862567169
神宮寺勇太,7.3,46.7,4811,8.52E-05,2.13E-05
陣内孝則,15.9,86,5139,0.0001880942239,0.0001217408986
陣内智則,19.3,93.6,19021,0.002786645578,0.001385638013
須賀健太,5.5,51,11315,4.72E-05,0.0004022145644
杉浦太陽,6.2,80.5,14236,5.14E-05,0.0001437118025
杉野遥亮,14.2,43,16889,0.0002025781769,0.001492607288
杉本哲太,13.5,82.8,3602,1.93E-06,2.41E-06
鈴鹿央士,11.5,47.4,23643,0.0005520096465,0.0006731027697
鈴木浩介,11.7,66,313,1.45E-08,1.82E-08
鈴木仁,1.9,8.8,12,2.14E-11,2.68E-11
鈴木伸之,11,40.5,13823,0.0003311034048,4.34E-05
鈴木福,23.9,88.8,29399,0.002582713905,0.006731379445
鈴木亮平,39.6,89.2,152,3.43E-09,4.29E-09
菅田将暉,36.6,92.7,44261,0.003430127566,0.004237090767
駿河太郎,6.5,51,9823,0.0005704055152,2.00E-05
関口メンディー,16.3,81.6,28522,0.0008615536733,0.001313802661
関根勤,24.4,92.6,5830,2.60E-05,0.0002421494018
瀬戸康史,15.2,66,14949,0.0007705077525,7.42E-05
曽田陵介,2.1,6.9,8249,1.01E-05,1.26E-05
染谷将太,7.3,61.2,19805,0.0003326643694,0.0001738675755
反町隆史,28,89.6,24553,0.0008922174801,0.0003370456183
DAIGO,29.6,95,31051,0.003959655876,0.001150935134
醍醐虎汰朗,0.4,7.1,10805,1.73E-05,2.17E-05
髙嶋政伸,9,86.9,6203,0.0002317029762,2.68E-05
髙嶋政宏,7.8,81.4,3941,0.0001487418925,1.02E-05
高杉真宙,11.7,46,11586,3.36E-05,4.71E-05
高田純次,34,90.4,28320,0.0003200733672,0.00108412313
高橋一生,26.4,89.2,23956,0.0004330763089,0.0007795936493
髙橋海人,15.4,58.6,104540,0.00238223375,0.002761512082
高橋克典,23,87.4,14437,3.09E-05,3.87E-05
高橋克実,25.3,90.1,5063,5.89E-05,2.95E-05
高橋茂雄,25.3,92.4,13884,7.11E-05,0.000442954088
高橋英樹,17.7,89.9,95,1.34E-09,1.68E-09
高橋文哉,10.8,24.6,52229,0.002268712441,0.002643882136
高橋光臣,4.8,21.8,14568,3.15E-05,3.94E-05
滝藤賢一,23.2,82.8,26581,0.0002729245971,0.0001760408362
武井壮,13.1,91.9,17065,0.0001579136362,0.0001064271218
竹内涼真,24.1,88.7,36575,0.0003497735194,0.0005142621315
武田鉄矢,15.9,94.2,15559,0.0001313248391,0.001209041129
竹中直人,28,89.2,7310,7.60E-05,0.0002841677723
竹野内豊,37.9,88.7,30189,0.0006034961297,0.0007684044906
舘ひろし,23,89.4,14454,0.0002136598504,0.0005081833917
田中圭,24.1,89,14991,3.82E-05,0.0001038133965
田中卓志,23.7,95.2,16244,7.30E-05,0.0002885976998
田中直樹,19.6,92.9,122,2.21E-09,2.77E-09
田中将大,18.4,88.5,70583,0.01881772201,0.001205647724
田中裕二,15,93.6,442,2.90E-08,3.63E-08
田中要次,14.2,85.8,5186,3.99E-06,5.00E-06
田辺誠一,10.8,72.6,3064,3.36E-05,7.32E-05
谷原章介,15.2,84.2,8913,5.08E-05,0.0002588248948
玉木宏,32,90.3,24296,0.002330027691,0.001048506651
玉森裕太,15.6,75.6,6767,4.08E-05,2.40E-05
玉山鉄二,11,67.6,15268,7.08E-05,0.0001796162037
田村淳,17.5,93.5,22905,0.0001003371463,0.0002104391573
タモリ,40,96.6,42541,0.001878080403,0.004447709666
知念侑李,8.1,65.5,6761,0.0002483255948,0.0003040768658
千葉雄大,15.8,75.2,21908,0.0002380719694,0.0003666223384
千原ジュニア,17.9,93.8,15499,0.0001522057287,0.0009986421967
