澤部佑,27.1,93.5
沢村一樹,27.1,86.7
サンシャイン池崎,21.4,91.5
椎名桔平,22.1,83.7
ジェシー_(アイドル),12,58.1
重岡大毅,8.1,49.9
志尊淳,17.3,69.7
設楽統,35.2,93.3
清水尋也,1.4,19.3
春風亭昇太,16.1,88.5
城島茂,25.1,94.2
笑福亭鶴瓶,30.4,96.5
白濱亜嵐,6.4,51.9
城田優,12.6,83.9
神宮寺勇太,7.3,46.7
陣内孝則,15.9,86
陣内智則,19.3,93.6
須賀健太,5.5,51
杉浦太陽,6.2,80.5
杉野遥亮,14.2,43
杉本哲太,13.5,82.8
鈴鹿央士,11.5,47.4
鈴木浩介,11.7,66
鈴木仁,1.9,8.8
鈴木伸之,11,40.5
鈴木福,23.9,88.8
鈴木亮平,39.6,89.2
菅田将暉,36.6,92.7
駿河太郎,6.5,51
関口メンディー,16.3,81.6
関根勤,24.4,92.6
瀬戸康史,15.2,66
曽田陵介,2.1,6.9
染谷将太,7.3,61.2
反町隆史,28,89.6
DAIGO,29.6,95
醍醐虎汰朗,0.4,7.1
髙嶋政伸,9,86.9
髙嶋政宏,7.8,81.4
高杉真宙,11.7,46
高田純次,34,90.4
高橋一生,26.4,89.2
髙橋海人,15.4,58.6
高橋克典,23,87.4
高橋克実,25.3,90.1
高橋茂雄,25.3,92.4
高橋英樹,17.7,89.9
高橋文哉,10.8,24.6
高橋光臣,4.8,21.8
滝藤賢一,23.2,82.8
武井壮,13.1,91.9
竹内涼真,24.1,88.7
武田鉄矢,15.9,94.2
竹中直人,28,89.2
竹野内豊,37.9,88.7
舘ひろし,23,89.4
田中圭,24.1,89
田中卓志,23.7,95.2
田中直樹,19.6,92.9
田中将大,18.4,88.5
田中裕二,15,93.6
田中要次,14.2,85.8
田辺誠一,10.8,72.6
谷原章介,15.2,84.2
玉木宏,32,90.3
玉森裕太,15.6,75.6
玉山鉄二,11,67.6
田村淳,17.5,93.5
タモリ,40,96.6
知念侑李,8.1,65.5
千葉雄大,15.8,75.2
千原ジュニア,17.9,93.8
塚地武雅,21.1,90.8
塚本高史,7.6,66.2
津田寛治,7.1,55.4
津田健次郎,11.9,35.2
土田晃之,14.7,90.4
堤真一,37.3,91
坪倉由幸,5,69
妻夫木聡,33.8,90.1
つるの剛士,10.8,91
ディーン・フジオカ,22.1,86.9
出川哲朗,43,97.7
寺島進,20.9,84.1
寺田心,12.9,85.7
寺脇康文,19.6,80.7
でんでん,8.3,63.7
堂本光一,21.4,89.7
堂本剛,22.1,89
所ジョージ,41.4,96.6
ØMI,6.5,52.6
トータス松本,14.2,77.3
戸塚純貴,2.3,19.6
戸次重幸,10.3,51
豊川悦司,19.5,81.8
内藤剛志,19.3,85.5
中井貴一,27.1,87.6
中居正広,32.9,97.2
中尾明慶,16.5,80.7
中川大志,21.1,71.3
長嶋一茂,14.9,94.2
中島健人,18.8,76.8
中島裕翔,13.1,57.3
永瀬正敏,6.7,62.7
永瀬廉,17.9,66.4
中田圭祐,1.1,6.9
仲野太賀,20,53.1
中丸雄一,23,84.4
中村勘九郎,7.8,80.2
中村獅童,10.1,89.6
中村俊介,5.8,65.1
仲村トオル,23,85.1
中村倫也,26,80.9
中村雅俊,17.3,82.8
永山瑛太,18.1,72.7
永山絢斗,8.5,49.4
中山秀征,12.9,91.9
名倉潤,17.3,91.7
生瀬勝久,24.2,84.4
成田凌,12.7,61.2
南原清隆,14.7,92
錦織圭,16.5,92.4
西島秀俊,41.4,86.2
西田敏行,31.9,92
西畑大吾,6.2,38.4
西村まさ彦,15.9,75.9
二宮和也,35.2,96.3
温水洋一,18.2,88.5
野間口徹,13.1,74.9
野村周平,6.4,57.9
野村萬斎,16.1,82.5
バカリズム,34.2,92.4
萩原利久,1.2,13.3
はじめしゃちょー,7.8,64.1
長谷川博己,15.2,69.6
羽鳥慎一,25.1,90.6
羽生結弦,31.5,95.8
濱正悟,0.4,4.6
濱田岳,29.7,87.4
濱田龍臣,5.8,50.8
浜田雅功,35.9,98.4
浜野謙太,7.1,49
林修,16.1,94.3
林遣都,12.4,71
速水もこみち,13.6,92.9
原田泰造,33.5,94.7
原田龍二,8,76.5
はるな愛,12.2,93.8
坂東龍汰,2.5,11.7
HIKAKIN,14.5,87.4
東野幸治,15.9,96.3
東山紀之,18.9,92.2
ビートたけし,25.8,96.8
ビビる大木,10.6,89
日村勇紀,38.8,96.6
日向亘,1.1,5.3
平泉成,15.9,85
平岡祐太,6,45.3
平野紫耀,34.5,76.3
平山浩行,7.1,46.7
ヒロミ,26,95.8
吹越満,6.5,59.1
福澤朗,10.3,86.5
福士蒼汰,24.6,85.3
福山雅治,38.1,95
藤井隆,20.5,82.3
藤井流星,5.3,40.7
藤岡弘、,17.2,88.1
藤ヶ谷太輔,13.1,73.3
藤木直人,21.1,81.6
藤森慎吾,14.3,87.4
藤原大祐,0.9,5.1
藤原竜也,29.9,93.8
船越英一郎,10.1,89
古川雄輝,2.5,23
古川雄大,3.7,17.5
古田新太,23.4,88.3
古舘伊知郎,9.6,86.4
別所哲也,8.3,75.2
星野源,29.9,94.2
細田佳央太,4.2,20.2
堀内健,17.5,90.8
本郷奏多,7.6,47.6
毎熊克哉,1.9,13.1
眞栄田郷敦,14,58.2
前野朋哉,4.1,43.7
マキタスポーツ,6.5,53.6
眞島秀和,7.6,43
又吉直樹,19.6,94.7
町田啓太,14.3,45.7
松岡修造,27.3,94
松岡昌宏,23.5,93.8
マツコ・デラックス,51,98.9
松坂桃李,34.2,92.6
松重豊,40.5,89.4
松下洸平,17.2,57.5
松田翔太,19.3,85.1
松田龍平,14.5,84.1
松平健,17.2,90.4
松丸亮吾,13.3,80.7
松村北斗,13.1,36.8
松本幸四郎,8.7,79.6
松本潤,32.2,95
松本人志,41.8,98.9
松山ケンイチ,22.5,91.3
的場浩司,12.6,88.5
間宮祥太朗,18.1,67.8
丸山隆平,11.3,61.1
三浦知良,22.7,90.4
三浦翔平,13.3,66.5
三浦貴大,4.2,44.4
三浦友和,19.3,82.3
水上恒司,5.1,19.5
水沢林太郎,0.4,3.4
水谷豊,29.6,90.1
溝端淳平,11.9,76.8
道枝駿佑,13.3,51.5
光石研,11.2,53.6
満島真之介,16.1,73.5
峰竜太,5.1,81.8
宮川大輔,31.2,95.2
三宅弘城,5.3,41.8
三宅裕司,13.5,84.6
宮沢氷魚,10.1,46.9
宮世琉弥,2.7,16.3
宮根誠司,5.5,89.6
向井理,24.4,90.1
向井康二,7.4,34.9
六平直政,9,62.1
村上信五,25.1,87.4
村上虹郎,8.3,41.8
ムロツヨシ,46.7,92.9
恵俊彰,9.9,86.7
目黒蓮,24.6,65.3
望月歩,0.7,9.6
本木雅弘,21.4,82.7
森崎ウィン,6,39.3
森山未來,11.2,69.7
柳楽優弥,21.4,72.4
役所広司,28.5,87.6
薬丸裕英,7.8,88.1
矢沢永吉,18.4,92.2
八嶋智人,23,83.5
安田顕,32.4,81.9
安田章大,6.5,54.9
柳沢慎吾,28,91.7
柳葉敏郎,24.1,88.8
矢部浩之,19.1,95
山口智充,25.3,89.7
山崎育三郎,20.7,73.1
山﨑賢人,26.5,81.4
山崎弘也,33.8,91.5
山里亮太,26.7,94.2
山下健二郎,10.6,53.6
山下智久,28.1,89.6
山田孝之,35.9,90.8
山田裕貴,24.1,69
山田涼介,20.2,81.6
山中崇,5,41.8
山本耕史,20,84.6
矢本悠馬,7.6,41.6
結木滉星,1.1,9.4
ゆうたろう,2.1,11.3
ユースケ・サンタマリア,17.2,89.2
横浜流星,27.1,82.1
横山だいすけ,15.6,55.6
横山裕,12.9,75
吉岡秀隆,15.2,75.6
吉沢亮,30.4,77.2
吉田鋼太郎,25.8,87.4
吉村崇,17.2,83
ラウール_(アイドル),10.6,55.8
竜星涼,8.1,35.8
リリー・フランキー,16.6,82.7
六角精児,21.9,85.8
若林正恭,33.1,90.1
渡辺いっけい,13.8,76.8
渡邊圭祐,4.2,22.8
渡辺謙,23.4,89.7
渡辺大知,2.3,18.4
渡部篤郎,22.7,83.9
EXIT_(お笑いコンビ),30.8,87.4
おぎやはぎ,27.1,93.1
かまいたち_(お笑いコンビ),37.3,92.6
さまぁ〜ず,33.1,94.3
サンドウィッチマン_(お笑いコンビ),67.4,98.1
JO1,4.1,40
シソンヌ_(お笑いコンビ),23.5,66.5
霜降り明星,22.7,86.7
タカアンドトシ,39.1,94.7
千鳥_(お笑いコンビ),51.5,95.4
チョコレートプラネット,40.9,90.1
ティモンディ,19.1,80.5
ナイツ_(お笑いコンビ),34.5,88.5
錦鯉_(お笑いコンビ),20.2,90.1
ニューヨーク_(お笑いコンビ),8.8,63
博多華丸・大吉,46.5,94.2
ブラックマヨネーズ,22.1,90.6
ぺこぱ,21.1,89.6
ミキ_(お笑いコンビ),17,81.4
見取り図_(お笑いコンビ),14.5,70.6
ミルクボーイ,14.9,82.5
四千頭身,17,78.1
和牛_(お笑いコンビ),13.8,73.3
相武紗季,16.8,77
蒼井優,26.4,88
葵わかな,6,47.6
秋田汐梨,0.7,2.7
秋元梢,2.8,46.9
浅川梨奈,1.4,5.3
浅田舞,12.7,80.7
浅田真央,34.7,97.3
浅田美代子,11.5,69.9
浅野ゆう子,14.9,79.3
朝日奈央,25.1,72.9
朝比奈彩,5.3,26.5
芦田愛菜,45.8,95.4
麻生久美子,18.8,65.8
麻生祐未,8.8,40.5
安達祐実,23.2,86.7
足立梨花,14.7,69.9
天海祐希,50.4,91
綾瀬はるか,58.1,95.9
新井恵理那,13.3,46.5
新垣結衣,52,92.9
新木優子,21.4,64.2
嵐莉菜,0.5,2.8
有村架純,41.1,88.7
杏,35.9,90.8
アンミカ,27.8,93.1
安藤サクラ,25.3,73.8
飯豊まりえ,12.2,46.4
井川遥,24.8,75.8
生田絵梨花,15.6,56.3
池田エライザ,17.5,66.4
井桁弘恵,5.8,26.2
池田美優,21.1,87.4
池間夏海,0.7,3.2
池脇千鶴,9.9,51.2
生駒里奈,6.2,54.3
石井杏奈,6.4,27.4
石川恋,1.6,13.3
石田ニコル,2.5,29
石田ひかり,10.8,68
石田ゆり子,40.7,80.2
石野真子,11,68.8
石橋静河,6,28.5
石原さとみ,38.1,92.4
泉里香,7.6,31.3
磯野貴理子,14.7,85.7
磯山さやか,15.4,68.8
板谷由夏,8.1,39.3
市川紗椰,8,41.2
市川実日子,15.6,51.9
市毛良枝,11.7,60
いとうあさこ,36.1,94.9
伊藤歩,2.5,13.8
伊藤沙莉,26.9,61.6
稲垣来泉,4.2,11.7
稲森いずみ,14.9,63.9
井上咲楽,11.5,73.8
井上真央,26.9,76.8
祷キララ,0,1.1
