word,coef
隼人,2901.111943692253
飲食,863.5627099280416
可南子,519.6555229579262
徹,195.66948887311597
東方,173.30702829640276
other,171.0377315959957
役者,161.80092379021522
幸四郎,155.17524940997984
クロック,150.50462576002573
おの,147.23835240890773
要,143.88626022751282
re,135.89847095368242
!!』,122.28918015940012
茜,116.4102256281891
episode,114.01573038871311
めし,113.78507825611992
福岡,113.12405898191997
樋口,112.86745874009448
好き,111.69511352314804
町田,108.91029707668679
哲太,105.65650244552938
小宮,104.42515485721371
歌舞伎,102.51845997883007
八木,100.66513849330322
スターダストプロモーション,94.06441794139963
神,93.99710479060666
中村,93.35495227621024
岡本,93.06707643839832
vol,89.72938038439281
有岡,89.65473025423906
課,89.53762214256585
俺,88.89215507475723
藤堂,88.76547088561185
前野,87.64432936262939
大介,87.39265626712104
1999,87.0785588814077
サ,85.52843781307521
巡査,84.07826637839393
ツッコミ,80.5864199638384
ストロベリー,79.77663514797803
わか,79.17397440235793
学園,77.91217198048874
淳史,77.55762442850737
1983,75.67434319913927
加地,74.6706870852257
岩田,74.24260441841483
係,73.54568499702232
取調,71.34343381106532
夏海,71.05420675498699
孝浩,70.21180380580535
コンビ,69.85328124205908
玉城,69.46122103837327
東野,68.85685640866949
緊急,67.44374682448846
助演,66.40200352280033
政信,63.08358482397109
平岩,61.207536667282426
マキタ,60.20618406258222
千尋,59.150300702652274
板尾,59.11652944029915
員,58.80737485485775
男児,56.92908236077558
わたし,56.74728147727071
宿,56.73614297900202
・,56.20574646793279
西村,56.15111195332772
幕張メッセ,56.078101487343375
ゴジラ,55.731114764869645
狂言,55.23316449791088
ホール,54.73624071301298
竜太,54.54700794565265
後藤,54.32098837261872
モール,53.400191656886
野球,52.98170414397108
prince,52.98066334997138
ニコル,52.81118036422894
闇,52.5045436902358
サッカー,52.20961280565106
奈々,51.801498695584975
au,51.22718091722602
惠子,50.63548848154729
剣,50.45126576220447
1991,49.693532583794045
隆,49.61986076216959
出産,48.96106409827851
弓子,48.9040356202772
鴨,48.20190193529181
渡部,48.165865316161415
齋藤,47.52893681179966
伊武,47.30516212819667
勝利,47.074799876715595
藤,46.86663541812704
博己,46.59142044598284
of,46.24770144259093
伸之,45.41146802816171
vs,44.84879283463707
橋,44.84590530252921
監督,44.409739112730506
一家,44.38759141314392
製品,43.109189122825335
his,42.79703554758592
章,42.32254689822699
ラブ,42.09569639324882
櫻井,42.0675365341946
進,41.80742369500123
彰,41.73617179694137
小嶋,41.26875679326322
翼,41.08247005569589
陣内,41.02777813433886
柳,40.13759731834404
原題,40.08579347988226
市村,38.73170781214719
万引き,38.680239418742374
オスカー,38.52383515316354
泰造,38.38016004237702
機,37.448336337302585
百田,36.81106846742473
士,35.978786474046764
犬飼,34.61008408707668
発,34.45771325612791
st,33.809819856896816
to,33.64071828268473
刑事,32.94705254942487
逮捕,32.6017697600683
栄,32.585551516270705
石井,32.52790617960966
矢部,32.473237254483536
brillia,32.243560637791056
中島,32.22658795192346
礼,31.687078056678818
鍋,31.20255342779332
園,31.118783099526432
悦司,31.115102076389665
経営,30.937821154047906
美沙子,30.786058829161682
本多劇場,30.424986071218754
中谷,29.506448036930266
土屋,28.85219015646626
神田,28.12912590976958
ver,27.318052417035016
ブログ,26.802229087883635
和歌山,26.495703256531094
剛志,25.97091108490498
万,25.841854866472346
塚地,25.484862894610114
千葉,25.11695372316752
金太郎,24.98176387135957
長澤,24.969042173601018
戦隊,24.937789817778835
龍,24.74281380689619
松島,24.664459257812208
直美,24.563818819575605
澤,24.430893375121506
｢,24.37601428076095
ろう,24.269219500979155
昇,23.69342604979466
照明,23.347137025789326
芝,23.316021379642706
====,22.068857211041227
1990,21.63678490628042
love,21.491932458989154
1993,21.281815826856576
杉,20.861588592123276
竹中,20.84360469469648
探偵,20.599708873709456
ウルトラマン,19.97891666177147
央,19.43353428924414
高田,19.39269128922162
サスペンス,19.28647313507533
荒川,19.107813296957094
佐久間,18.672390029415503
大志,18.49100745017568
宏光,18.12986446509666
=====,18.004702493237918
台湾,17.865157995091746
本郷,17.72213358112356
j,17.69914536304465
太田,16.963830380263747
文乃,16.721116878729134
木南,16.660890290999774
遙,16.645016842018645
黒島,16.411931280131398
松山,16.35073834063718
鳥取,16.182910015329416
北大路,15.965222455299996
ウーマンリブ,15.513717359363667
ー,15.136434941024328
',14.720154414217975
裕,14.386234242379544
長崎,14.292336032936
､『,14.23739520722222
設楽,14.05176205222334
megumi,13.656354696127263
真央,13.274834249973782
日奈子,13.261865370611542
asin,13.133104205212138
香取,13.103859181220955
cha,12.515736296859762
明美,12.38909999618744
舞香,12.361329410023645
切り,12.359338084336773
松江,11.969237811175093
柳葉,11.407314181498656
汰,11.320307174317783
剛,11.034862065663994
位,10.807005513315024
赤,10.627894584514483
又吉,10.124881093591224
不定期,10.120605764519926
剛士,9.872168714440827
理央,9.738109805345976
綾瀬,9.676316342335056
冠,9.390240320951124
旬,9.13405901854898
愛妻,8.973817293645606
城田,8.822444193253043
金融,8.715575113856463
lie,8.636279671316913
投手,8.63033278369203
(,8.626707589986296
タレント,8.590264772708586
角川,8.480064547598248
瞳,8.310233007036897
マナミ,8.277858677221118
同年,8.275326864683306
杉浦,8.155599842719377
よみうり,7.674193788825878
sexy,7.654349890490499
カンゾー,7.63532509125883
浅田,7.635098187323159
japan,6.766491136132126
常盤,6.722717887322432
ホラン,6.5144483942346545
堂,6.370106036725473
父,6.348413068768934
銭形,6.316062374157044
里香,6.129484037367754
マーサ,6.078703487716513
上戸,6.025494186580467
岸部,5.982191757737614
