長崎県,1142363
熊本県,1309815
大分県,1068250
宮崎県,781024
鹿児島県,1248093
沖縄県,1114772
北海道,5972453
青森県,1395884
岩手県,1883376
宮城県,2081962
秋田県,1218337
山形県,1752645
福島県,2638257
茨城県,2375820
栃木県,3230179
群馬県,2808154
埼玉県,3587871
千葉県,4548542
東京都,19067152
神奈川県,5841760
新潟県,2523799
富山県,1351111
石川県,1311947
福井県,956426
山梨県,1814081
長野県,4544958
岐阜県,2733064
静岡県,8625492
愛知県,8378467
三重県,2333229
滋賀県,1320804
京都府,2308800
大阪府,5204723
兵庫県,4845187
奈良県,1041218
和歌山県,1577131
鳥取県,882995
島根県,865351
岡山県,1968088
広島県,2422165
山口県,1317205
徳島県,804875
香川県,1021485
愛媛県,1052439
高知県,862704
福岡県,4220797
佐賀県,2440998
長崎県,1471606
熊本県,1583510
大分県,1267129
宮崎県,857133
鹿児島県,1479780
沖縄県,925733
北海道,5281254
青森県,995972
岩手県,1407454
宮城県,1746926
秋田県,887539
山形県,1327875
福島県,1943726
茨城県,2103040
栃木県,2572748
群馬県,2364790
埼玉県,3341298
千葉県,4027259
東京都,18026444
神奈川県,5313085
新潟県,1739857
富山県,1132615
石川県,1153453
福井県,716422
山梨県,1622085
長野県,3396473
岐阜県,2418536
静岡県,6895225
愛知県,7772099
三重県,2082178
滋賀県,1240917
京都府,2330322
大阪府,4939354
兵庫県,4418107
奈良県,985754
和歌山県,1308101
鳥取県,741917
島根県,705681
岡山県,1630500
広島県,2002840
山口県,1054745
徳島県,648282
香川県,770351
愛媛県,812405
高知県,725699
福岡県,3652916
佐賀県,2128255
長崎県,1168161
熊本県,1441173
大分県,1063222
宮崎県,791773
鹿児島県,1293909
沖縄県,880544
北海道,4208253
青森県,1046324
岩手県,1633282
宮城県,1854050
秋田県,1002140
山形県,1504074
福島県,2286780
茨城県,2633045
栃木県,2997554
群馬県,2626813
埼玉県,3346037
千葉県,4540317
東京都,19357347
神奈川県,5487974
新潟県,1944841
富山県,1205815
石川県,1369516
福井県,754360
山梨県,1532732
長野県,3595968
岐阜県,2703773
静岡県,7254788
愛知県,7929358
三重県,2084758
滋賀県,1401448
京都府,2778048
大阪府,5328700
兵庫県,4259961
奈良県,1316555
和歌山県,1447596
鳥取県,812603
島根県,850041
岡山県,1741707
広島県,2129318
山口県,1164773
徳島県,723455
香川県,876723
愛媛県,954881
高知県,801603
福岡県,3931453
佐賀県,2356160
長崎県,1341876
熊本県,1629757
大分県,1308427
宮崎県,913392
鹿児島県,1486396
沖縄県,1069998
北海道,2858526
青森県,783517
岩手県,1263205
宮城県,1760840
秋田県,711765
山形県,1285900
