name,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count
ゆりやんレトリィバァ,6,17323,32,202.0,0.3000000000000007,-0.8999999999999915,20.2,90.6,20.5,89.7,-25.0,44.0,8.0,20.0,72.0,62.0,28.0,134.0
りょう_(女優),7,11586,33,447.0,-1.5999999999999979,2.200000000000003,21.2,72.0,19.6,74.2,14.0,235.0,12.0,2.0,210.0,67.0,14.0,277.0
アンミカ,9,120781,24,248.0,7.100000000000001,0.5,20.7,92.6,27.8,93.1,16.0,173.0,13.0,3.0,160.0,36.0,16.0,196.0
イモトアヤコ,10,24932,4,70.0,1.2999999999999972,-0.20000000000000284,35.2,97.7,36.5,97.5,10.0,109.0,4.0,0.0,63.0,7.0,4.0,70.0
ウエンツ瑛士,9,14220,10,56.0,-3.6999999999999993,1.1000000000000085,20.2,93.1,16.5,94.2,7.0,26.0,6.0,3.0,21.0,7.0,9.0,28.0
ウド鈴木,9,14525,16,55.0,-0.6999999999999993,-0.5,16.8,92.4,16.1,91.9,23.0,51.0,12.0,3.0,36.0,8.0,15.0,44.0
オダギリジョー,10,74222,84,234.0,3.0,0.6999999999999886,23.5,87.4,26.5,88.1,108.0,135.0,59.0,10.0,103.0,47.0,69.0,150.0
カズレーザー,13,51839,50,254.0,0.3999999999999986,0.7000000000000028,33.6,96.1,34.0,96.8,45.0,118.0,32.0,6.0,121.0,53.0,38.0,174.0
カンニング竹山,8,19146,21,137.0,-0.3000000000000007,0.29999999999999716,16.6,94.0,16.3,94.3,16.0,-25.0,16.0,2.0,34.0,59.0,18.0,93.0
ガンバレルーヤ,12,37521,14,97.0,2.5,0.5,26.9,89.2,29.4,89.7,23.0,78.0,12.0,1.0,65.0,26.0,13.0,91.0
キムラ緑子,6,13302,7,56.0,0.09999999999999964,0.7999999999999972,12.6,52.7,12.7,53.5,0.0,23.0,1.0,2.0,19.0,6.0,3.0,25.0
ケンドーコバヤシ,6,24481,8,95.0,0.3000000000000007,0.0,22.7,91.9,23.0,91.9,6.0,53.0,6.0,2.0,52.0,18.0,8.0,70.0
サンシャイン池崎,16,56757,25,80.0,0.29999999999999716,0.0,21.1,91.5,21.4,91.5,30.0,89.0,22.0,2.0,62.0,9.0,24.0,71.0
サンドウィッチマン_(お笑いコンビ),7,41057,28,233.0,2.6000000000000085,0.19999999999998863,64.8,97.9,67.4,98.1,21.0,206.0,17.0,4.0,158.0,32.0,21.0,190.0
シシド・カフカ,3,7996,3,32.0,0.0,0.0,11.3,60.4,11.3,60.4,4.0,20.0,2.0,0.0,14.0,6.0,2.0,20.0
シソンヌ_(お笑いコンビ),9,50373,29,156.0,3.1000000000000014,2.6000000000000014,20.4,63.9,23.5,66.5,18.0,84.0,19.0,5.0,87.0,32.0,24.0,119.0
タカアンドトシ,8,19947,6,55.0,-0.8999999999999986,-0.29999999999999716,40.0,95.0,39.1,94.7,0.0,48.0,1.0,2.0,34.0,9.0,3.0,43.0
タモリ,13,67548,58,278.0,-2.700000000000003,0.0,42.7,96.6,40.0,96.6,26.0,57.0,29.0,9.0,104.0,65.0,38.0,169.0
ダレノガレ明美,13,24218,30,101.0,1.3999999999999995,1.2999999999999972,6.7,83.5,8.1,84.8,14.0,71.0,18.0,10.0,67.0,26.0,28.0,93.0
チョコレートプラネット,13,50161,47,183.0,-0.8999999999999986,0.3999999999999915,41.8,89.7,40.9,90.1,55.0,225.0,39.0,5.0,154.0,17.0,44.0,171.0
ティモンディ,16,110273,72,195.0,-1.7999999999999972,5.099999999999994,20.9,75.4,19.1,80.5,107.0,266.0,63.0,8.0,166.0,28.0,71.0,194.0
ディーン・フジオカ,3,16904,10,152.0,1.6000000000000014,0.7000000000000028,20.5,86.2,22.1,86.9,12.0,188.0,8.0,2.0,125.0,20.0,10.0,145.0
トラウデン直美,19,89924,22,104.0,0.5,-0.30000000000000426,4.6,39.6,5.1,39.3,7.0,19.0,9.0,7.0,40.0,25.0,16.0,65.0
トリンドル玲奈,10,57328,35,134.0,-0.7000000000000011,-1.0,13.8,78.9,13.1,77.9,42.0,185.0,29.0,2.0,119.0,7.0,31.0,126.0
トータス松本,5,17555,12,54.0,-0.7000000000000011,4.3999999999999915,14.9,72.9,14.2,77.3,16.0,27.0,10.0,2.0,27.0,12.0,12.0,39.0
ナイツ_(お笑いコンビ),4,14472,2,358.0,0.0,-0.5,34.5,89.0,34.5,88.5,-2.0,264.0,0.0,2.0,243.0,62.0,2.0,305.0
バカリズム,6,20890,22,259.0,-1.6999999999999957,0.20000000000000284,35.9,92.2,34.2,92.4,28.0,255.0,16.0,1.0,167.0,32.0,17.0,199.0
ヒコロヒー,11,141524,38,258.0,4.300000000000001,4.300000000000011,12.0,65.1,16.3,69.4,20.0,91.0,23.0,11.0,126.0,96.0,34.0,222.0
ヒロミ,8,20945,45,269.0,-0.1999999999999993,1.0999999999999943,26.2,94.7,26.0,95.8,13.0,116.0,24.0,15.0,136.0,79.0,39.0,215.0
ビビる大木,6,9793,11,57.0,-1.3000000000000007,-0.4000000000000057,11.9,89.4,10.6,89.0,-4.0,7.0,1.0,5.0,14.0,10.0,6.0,24.0
ビートたけし,2,7771,8,179.0,-6.599999999999998,-0.7000000000000028,32.4,97.5,25.8,96.8,3.0,-34.0,4.0,1.0,54.0,88.0,5.0,142.0
ファーストサマーウイカ,9,58554,30,240.0,1.0,2.0,18.8,72.7,19.8,74.7,11.0,75.0,12.0,3.0,96.0,56.0,15.0,152.0
フワちゃん,7,45631,47,282.0,2.799999999999997,0.7999999999999972,16.1,95.8,18.9,96.6,80.0,211.0,39.0,7.0,183.0,87.0,46.0,270.0
ブラックマヨネーズ,7,7671,10,93.0,-2.0,-0.6000000000000085,24.1,91.2,22.1,90.6,9.0,23.0,7.0,2.0,43.0,29.0,9.0,72.0
ベッキー,7,16742,7,110.0,0.40000000000000036,1.5,11.5,92.7,11.9,94.2,-3.0,17.0,2.0,5.0,48.0,41.0,7.0,89.0
ホラン千秋,12,120135,55,222.0,1.7000000000000028,0.0,17.9,87.1,19.6,87.1,-5.0,-18.0,25.0,26.0,72.0,92.0,51.0,164.0
マキタスポーツ,3,7810,5,179.0,-0.20000000000000018,4.200000000000003,6.7,49.4,6.5,53.6,-1.0,-35.0,2.0,3.0,29.0,76.0,5.0,105.0
マギー_(モデル),8,15914,18,257.0,-1.0,-1.8999999999999986,6.0,65.8,5.0,63.9,4.0,89.0,7.0,3.0,119.0,70.0,10.0,189.0
マツコ・デラックス,5,23182,32,456.0,-1.6000000000000014,0.30000000000001137,52.6,98.6,51.0,98.9,25.0,179.0,22.0,9.0,251.0,158.0,31.0,409.0
ミキ_(お笑いコンビ),11,30544,30,228.0,-1.8000000000000007,-1.7999999999999972,18.8,83.2,17.0,81.4,8.0,52.0,17.0,10.0,111.0,72.0,27.0,183.0
ミルクボーイ,4,10400,9,200.0,1.4000000000000004,-1.2000000000000028,13.5,83.7,14.9,82.5,0.0,5.0,2.0,2.0,61.0,62.0,4.0,123.0
ムロツヨシ,8,48691,26,137.0,-2.6999999999999957,0.20000000000000284,49.4,92.7,46.7,92.9,23.0,184.0,16.0,2.0,112.0,9.0,18.0,121.0
ユースケ・サンタマリア,9,24782,8,34.0,-3.5,1.2000000000000028,20.7,88.0,17.2,89.2,3.0,6.0,4.0,1.0,12.0,10.0,5.0,22.0
リリー・フランキー,3,8461,3,79.0,-0.6999999999999993,1.7999999999999972,17.3,80.9,16.6,82.7,1.0,21.0,2.0,1.0,29.0,13.0,3.0,42.0
一ノ瀬颯,8,30458,10,52.0,-0.7,1.8000000000000007,1.4,7.6,0.7,9.4,17.0,50.0,7.0,0.0,26.0,9.0,7.0,35.0
三吉彩花,7,30999,22,84.0,0.5,-0.19999999999999574,4.8,32.4,5.3,32.2,32.0,142.0,17.0,1.0,75.0,4.0,18.0,79.0
三宅裕司,7,23528,12,59.0,1.5999999999999996,2.299999999999997,11.9,82.3,13.5,84.6,4.0,23.0,4.0,3.0,26.0,13.0,7.0,39.0
三戸なつめ,2,10978,0,33.0,-0.20000000000000018,-1.0999999999999943,2.7,50.8,2.5,49.7,0.0,12.0,0.0,0.0,16.0,7.0,0.0,23.0
三浦友和,5,17241,20,128.0,0.40000000000000213,0.20000000000000284,18.9,82.1,19.3,82.3,28.0,73.0,17.0,0.0,73.0,24.0,17.0,97.0
三浦知良,12,59580,22,120.0,-1.4000000000000021,2.1000000000000085,24.1,88.3,22.7,90.4,60.0,196.0,21.0,1.0,102.0,14.0,22.0,116.0
三浦翔平,12,32225,37,121.0,-3.0,-1.2999999999999972,16.3,67.8,13.3,66.5,24.0,71.0,26.0,5.0,70.0,21.0,31.0,91.0
三浦貴大,8,28765,5,55.0,-0.5999999999999996,1.1999999999999957,4.8,43.2,4.2,44.4,-2.0,21.0,0.0,2.0,24.0,15.0,2.0,39.0
三浦透子,4,54564,7,136.0,1.9,4.699999999999999,1.1,15.8,3.0,20.5,11.0,252.0,5.0,0.0,118.0,7.0,5.0,125.0
上地雄輔,8,27412,7,61.0,2.0,1.9000000000000057,8.8,85.5,10.8,87.4,10.0,45.0,7.0,0.0,35.0,6.0,7.0,41.0
上川隆也,7,36155,16,101.0,0.10000000000000142,-0.20000000000000284,17.2,73.3,17.3,73.1,19.0,59.0,11.0,1.0,49.0,18.0,12.0,67.0
上戸彩,6,50335,22,155.0,-2.700000000000003,1.3999999999999915,37.0,91.7,34.3,93.1,23.0,117.0,18.0,1.0,108.0,21.0,19.0,129.0
上田晋也,3,7770,4,103.0,-2.099999999999998,-2.0,30.4,94.9,28.3,92.9,1.0,28.0,1.0,0.0,53.0,27.0,1.0,80.0
上白石萌歌,10,87396,80,330.0,-2.8000000000000007,-1.5,19.3,79.6,16.5,78.1,95.0,374.0,57.0,13.0,247.0,49.0,70.0,296.0
上白石萌音,8,91817,53,337.0,-1.9000000000000021,-1.6000000000000085,24.6,84.4,22.7,82.8,61.0,376.0,45.0,7.0,255.0,44.0,52.0,299.0
上野樹里,10,51547,31,126.0,-1.3000000000000007,-2.299999999999997,28.7,79.5,27.4,77.2,60.0,173.0,30.0,1.0,103.0,12.0,31.0,115.0
与田祐希,4,25815,29,174.0,-1.2999999999999998,4.200000000000001,4.8,13.1,3.5,17.3,-25.0,192.0,8.0,20.0,141.0,27.0,28.0,168.0
中丸雄一,17,77436,65,249.0,-0.8999999999999986,2.5,23.9,81.9,23.0,84.4,50.0,89.0,37.0,14.0,97.0,59.0,51.0,156.0
中井貴一,8,65874,47,154.0,1.8000000000000007,4.199999999999989,25.3,83.4,27.1,87.6,51.0,148.0,34.0,6.0,107.0,16.0,40.0,123.0
中尾明慶,5,31419,13,142.0,3.9000000000000004,5.1000000000000085,12.6,75.6,16.5,80.7,7.0,156.0,9.0,4.0,114.0,20.0,13.0,134.0
中居正広,11,128584,157,396.0,3.5,0.4000000000000057,29.4,96.8,32.9,97.2,-6.0,110.0,85.0,63.0,221.0,137.0,148.0,358.0
中山秀征,13,51455,28,76.0,-1.299999999999999,1.1000000000000085,14.2,90.8,12.9,91.9,27.0,61.0,24.0,2.0,56.0,8.0,26.0,64.0
中山美穂,9,108692,17,73.0,-0.7000000000000011,1.8000000000000114,10.3,76.6,9.6,78.4,12.0,33.0,12.0,3.0,40.0,25.0,15.0,65.0
中島セナ,8,1930,21,36.0,-0.4,0.19999999999999973,0.4,3.2,0.0,3.4,42.0,54.0,16.0,0.0,22.0,2.0,16.0,24.0
中島健人,10,47260,36,316.0,0.6000000000000014,1.5999999999999943,18.2,75.2,18.8,76.8,76.0,525.0,32.0,4.0,272.0,27.0,36.0,299.0
中島裕翔,6,27801,35,220.0,0.5,2.0999999999999943,12.6,55.2,13.1,57.3,61.0,209.0,28.0,4.0,157.0,45.0,32.0,202.0
中川大志_(俳優),15,329650,99,318.0,5.300000000000001,9.399999999999999,15.8,61.9,21.1,71.3,158.0,316.0,79.0,14.0,229.0,67.0,93.0,296.0
中川翔子,9,74844,65,305.0,-3.1999999999999993,0.09999999999999432,31.0,91.2,27.8,91.3,51.0,332.0,49.0,14.0,243.0,52.0,63.0,295.0
中村ゆり,12,234575,49,103.0,3.1000000000000005,6.399999999999999,5.7,22.1,8.8,28.5,39.0,90.0,32.0,5.0,65.0,8.0,37.0,73.0
中村ゆりか,4,5685,2,49.0,-0.4999999999999999,1.5999999999999996,1.4,6.4,0.9,8.0,2.0,31.0,1.0,0.0,22.0,6.0,1.0,28.0
中村アン,4,53946,25,276.0,-0.10000000000000142,1.4000000000000057,17.3,64.8,17.2,66.2,21.0,47.0,18.0,4.0,103.0,89.0,22.0,192.0
中村俊介,11,9627,7,75.0,-1.1000000000000005,-1.4000000000000057,6.9,66.5,5.8,65.1,-1.0,12.0,0.0,1.0,15.0,14.0,1.0,29.0
中村倫也,5,24620,20,273.0,-2.3000000000000007,3.700000000000003,28.3,77.2,26.0,80.9,28.0,337.0,16.0,1.0,211.0,24.0,17.0,235.0
中村勘九郎_(6代目),5,15756,10,74.0,-0.20000000000000018,1.7999999999999972,8.0,78.4,7.8,80.2,16.0,128.0,8.0,0.0,65.0,3.0,8.0,68.0
中村獅童_(2代目),6,34022,14,74.0,0.6999999999999993,4.5,9.4,85.1,10.1,89.6,20.0,90.0,12.0,2.0,61.0,10.0,14.0,71.0
中村隼人,16,1122,31,84.0,-0.19999999999999996,5.700000000000001,0.7,13.6,0.5,19.3,46.0,118.0,26.0,2.0,61.0,10.0,28.0,71.0
中村雅俊,9,28712,15,61.0,1.700000000000001,7.599999999999994,15.6,75.2,17.3,82.8,20.0,50.0,14.0,0.0,38.0,9.0,14.0,47.0
中村静香,8,43039,17,61.0,0.7999999999999998,3.8999999999999986,4.2,20.0,5.0,23.9,-3.0,5.0,3.0,6.0,19.0,20.0,9.0,39.0
中条あやみ,11,97216,40,208.0,-2.299999999999997,4.099999999999994,23.9,66.2,21.6,70.3,23.0,180.0,28.0,11.0,158.0,25.0,39.0,183.0
中田圭祐,9,14442,30,107.0,0.40000000000000013,-1.9000000000000004,0.7,8.8,1.1,6.9,25.0,117.0,21.0,8.0,84.0,20.0,29.0,104.0
中谷美紀,3,11106,6,154.0,3.0,2.0,19.8,74.5,22.8,76.5,4.0,147.0,4.0,1.0,111.0,20.0,5.0,131.0
中越典子,9,21220,8,45.0,2.2,-2.299999999999997,5.1,53.5,7.3,51.2,7.0,24.0,5.0,1.0,20.0,5.0,6.0,25.0
丸山桂里奈,15,71796,39,151.0,-1.1999999999999993,-1.7999999999999972,13.1,88.5,11.9,86.7,45.0,157.0,30.0,7.0,122.0,20.0,37.0,142.0
丸山隆平,3,4149,1,64.0,-1.3999999999999986,-5.300000000000004,12.7,66.4,11.3,61.1,-1.0,66.0,0.0,1.0,45.0,12.0,1.0,57.0
久保田紗友,6,16995,11,50.0,0.09999999999999987,1.4000000000000004,1.8,8.0,1.9,9.4,13.0,55.0,8.0,1.0,33.0,8.0,9.0,41.0
久本雅美,7,14700,12,59.0,0.6999999999999993,-1.0999999999999943,17.5,93.8,18.2,92.7,1.0,-19.0,6.0,5.0,13.0,23.0,11.0,36.0
久間田琳加,10,48920,30,172.0,0.40000000000000036,2.0999999999999996,2.8,9.4,3.2,11.5,59.0,334.0,27.0,1.0,159.0,6.0,28.0,165.0
乙葉,8,24156,9,55.0,0.7000000000000011,-2.0,13.6,68.0,14.3,66.0,3.0,-10.0,3.0,2.0,8.0,25.0,5.0,33.0
亀梨和也,5,11255,8,131.0,-2.6999999999999993,-1.0,21.8,93.6,19.1,92.6,1.0,79.0,3.0,4.0,70.0,40.0,7.0,110.0
二宮和也,9,76816,65,438.0,-1.2999999999999972,1.0999999999999943,36.5,95.2,35.2,96.3,89.0,488.0,54.0,6.0,345.0,75.0,60.0,420.0
二階堂ふみ,2,15240,6,137.0,-2.5,0.9000000000000057,24.1,80.0,21.6,80.9,9.0,73.0,4.0,0.0,69.0,31.0,4.0,100.0
