name,name2,gender,pop_diff_past,aware_diff_past,201902人気度,201902知名度,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3,weightedPV1,weightedPV2,weightedPV3,weightedPV4,weightedPV5,allPV,burst_weightedPV1,burst_weightedPV5,weightedPV1_past,weightedPV2_past,weightedPV3_past,weightedPV4_past,weightedPV5_past,allPV_past
きゃりーぱみゅぱみゅ,きゃりーぱみゅぱみゅ,女性,-4.4,-2.3,17,94.7,6,41042,27,220,3,0.9,12.6,92.4,15.6,93.3,20,67,16,6,95,66,22,161,4.34E-08,0.0004626857611,13.94213361,335193.5914,36.7383632,35294.98132,84951.2382,25637.66206,2072.847927,56374.58911,174743,8598.975221,15106.45887,239178.6619,499166.7979,15278.21649,1633.790477,231119.9675,1417012
くっきー!,くっきー!,男性,2.2,6.1,18.9,81.9,6,17201,22,273,-2.5,1,21.1,88,18.6,89,7,-40,9,8,65,144,17,209,2.29E-08,0.0003575498334,22.74442238,368254.3185,44.05011685,24714.05363,58833.20303,14840.69451,1127.394077,38000.35952,123798,3480.818293,5182.658326,196027.3463,409746.5685,11580.45369,1384.623944,190619.0485,1157533
さまぁ〜ず,さまぁ〜ず,グループ,-2.5,-2.9,39.1,95.8,5,9361,16,236,-3.5,1.4,36.6,92.9,33.1,94.3,8,81,8,2,109,52,10,161,1.89E-07,0.0008470300837,20.69528708,449417.4803,48.22285241,23462.35596,55671.82372,12534.33415,1177.730698,35876.95734,117928,2069.565814,2819.865384,210060.7898,437856.416,11836.80997,1207.659361,201790.3123,1245667
つるの剛士,つるの剛士,男性,-5.7,-4.4,15.6,94.3,7,12207,27,222,0.9,1.1,9.9,89.9,10.8,91,41,138,23,4,115,57,27,172,1.54E-08,0.0001203735951,18.56550052,468747.4811,44.76851173,17639.73805,41504.79853,8692.755419,901.9104769,26342.51978,89676,2843.852772,4670.130807,152470.7205,317494.5084,9295.691029,940.9807465,145932.0232,905949
でんでん,でんでん,男性,1.1,-5.7,5.8,63.9,5,8521,2,54,1.4,5.5,6.9,58.2,8.3,63.7,0,42,1,1,31,6,2,37,0,4.46E-06,5.631460724,73311.2141,8.873563435,16215.4603,38169.3575,7034.532016,614.2072154,24048.13781,82139,1707.243387,2238.49992,107642.3922,225671.9981,8480.058006,1773.151153,106913.4271,634467
ともさかりえ,ともさかりえ,女性,1.8,-4.6,6.2,80,9,64444,51,80,1.4,1.1,8,75.4,9.4,76.5,55,67,43,6,53,12,49,65,2.33E-08,0.000150478955,6.122215634,190378.8667,17.33485198,31840.21862,77726.09579,26649.59676,2150.912208,53058.54356,154986,13025.43357,23701.40132,192842.755,405945.7772,16416.28037,1726.827083,193080.6222,1131268
はるな愛,はるな愛,その他,-1.4,-4.8,14.9,96.8,6,6183,9,81,-1.3,1.8,13.5,92,12.2,93.8,2,6,5,3,28,27,8,55,1.33E-08,0.0001037884889,7.3611803,103045.5997,12.96239206,12162.18131,28958.64964,6908.918028,947.4341069,19109.15672,61034,1114.548971,2340.153936,107821.7604,224937.7579,6621.910043,583.7629309,103886.2217,638967
ゆりやんレトリィバァ,ゆりやんレトリィバァ,女性,-2.3,1.9,22.5,88.7,6,17323,32,202,0.3,-0.9,20.2,90.6,20.5,89.7,-25,44,8,20,72,62,28,134,4.29E-10,7.89E-05,16.61078991,384128.1739,38.17885375,19686.03611,46943.70116,11138.44986,919.6489851,30453.44231,98301,3022.764248,5329.79231,305779.4863,630414.811,11722.95402,1282.663147,280545.075,1838012
りょう_(女優),りょう_(女優),女性,4.6,-6.6,16.6,78.6,7,11586,33,447,-1.6,2.2,21.2,72,19.6,74.2,14,235,12,2,210,67,14,277,0,0,28.05419017,610115.8015,60.37492068,17767.45718,42090.57344,9453.330256,784.6315322,26927.99644,89482,2247.858387,3702.868278,67619.29638,152879.9206,32092.52433,2530.81026,88578.06508,364649
アンミカ,アンミカ,女性,7.8,8.4,12.9,84.2,9,120781,24,248,7.1,0.5,20.7,92.6,27.8,93.1,16,173,13,3,160,36,16,196,3.03E-08,0.01257373349,19.05708728,489523.5829,50.75182463,94560.69651,225841.6366,57088.28249,4526.032084,147035.9466,471387,23726.0489,37182.74885,373723.0991,789396.9719,30727.42633,2922.459112,378694.0458,2177307
