name,weighted_pv
3時のヒロイン,195129.17419563982
Cocomi,204719.4092527518
DAIGO,140506.03974427728
EXIT_(お笑いコンビ),97544.68497997992
HIKAKIN,188840.64627991596
IKKO,43904.226777785414
IMALU,53341.332214097805
JO1,358564.1190629269
LiLiCo,65364.305880446576
MEGUMI,167306.27449849664
RIKACO,41948.06366665325
SHELLY,54142.99454984542
YOU_(タレント),86977.7295367446
あばれる君,46663.26043361365
いとうあさこ,71488.84148152472
おぎやはぎ,53203.80611641282
おのののか,50690.08731555493
かたせ梨乃,77912.96618267715
かまいたち_(お笑いコンビ),218252.90435925333
きゃりーぱみゅぱみゅ,84951.23820265608
くっきー!,58833.203030598175
さまぁ〜ず,55671.823717807405
つるの剛士,41504.79852837022
でんでん,38169.35749731623
ともさかりえ,77726.0957868252
なえなの,49733.181718817505
はじめしゃちょー,103202.2726486069
はるな愛,28958.64964337887
ぺこぱ,50096.485944945394
ぼる塾,194495.2535175304
ゆうたろう_(モデル),38695.53161219097
ゆりやんレトリィバァ,46943.70116008277
りょう_(女優),42090.57343979349
アンミカ,225841.6365593474
イモトアヤコ,60750.94602045112
ウエンツ瑛士,38070.454821566454
ウド鈴木,36320.85816806244
オダギリジョー,126617.91940464293
カズレーザー,148768.3447305766
カンニング竹山,54052.40420893195
ガンバレルーヤ,60747.41425284068
キムラ緑子,42142.97402852526
ケンドーコバヤシ,81873.24788952406
サンシャイン池崎,74678.51975287031
サンドウィッチマン_(お笑いコンビ),153909.19711904228
シシド・カフカ,29542.377475466987
シソンヌ_(お笑いコンビ),150318.04543079817
タカアンドトシ,63744.99980618911
タモリ,163796.3479191977
ダレノガレ明美,42147.340206746776
チョコレートプラネット,122926.51623752243
ティモンディ,144527.3641091603
ディーン・フジオカ,96624.15933740324
トラウデン直美,112258.40318859062
トリンドル玲奈,116199.07739967482
トータス松本,30472.15183486025
ナイツ_(お笑いコンビ),59176.388117703515
バカリズム,120700.74196616042
ヒコロヒー,310929.4600782374
ヒロミ,82003.76385365511
ビビる大木,31233.106787152497
ビートたけし,161730.60474666077
ファーストサマーウイカ,160214.3622189151
フワちゃん,189129.50889220624
ブラックマヨネーズ,33023.05672613428
ベッキー,66789.46491627143
ホラン千秋,191740.96594233494
マキタスポーツ,42975.86797910506
マギー_(モデル),39047.09827155026
マツコ・デラックス,135997.03791139953
ミキ_(お笑いコンビ),69763.45386189263
ミルクボーイ,48653.77374252144
ムロツヨシ,90754.01468948313
ユースケ・サンタマリア,48641.56633467708
リリー・フランキー,59820.20702952508
ローラ_(モデル),51150.20620273134
一ノ瀬颯,71333.79542312442
三吉彩花,96946.22203734501
三宅弘城,20791.040092426632
三宅裕司,39183.59231131292
三戸なつめ,18936.058697189674
三浦友和,87360.40501506436
三浦知良,178928.2800337124
三浦翔平,84153.69733581129
三浦貴大,91576.55470383786
三浦透子,163912.28394522239
上地雄輔,62415.40036180663
