name,burst_count,sentiment_mean,news_count,pop_diff,aware_diff
3時のヒロイン,15,0.9038461538461539,52,0.1999999999999993,-0.6000000000000085
Cocomi,15,0.9722222222222222,72,2.3000000000000003,8.700000000000003
DAIGO,4,1.0,12,-4.0,-0.5999999999999943
EXIT_(お笑いコンビ),16,0.9361702127659575,47,-1.1999999999999993,-0.6999999999999886
HIKAKIN,3,0.38461538461538464,13,-5.300000000000001,-1.0999999999999943
IKKO,11,0.7931034482758621,29,-0.1999999999999993,-0.9000000000000057
IMALU,13,0.8723404255319149,47,-0.20000000000000018,-0.20000000000000284
JO1,13,1.0,25,1.5999999999999996,2.5
LiLiCo,25,0.7727272727272727,22,2.6000000000000014,-1.5999999999999943
MEGUMI,14,0.9090909090909091,55,0.8000000000000007,-1.9000000000000057
RIKACO,10,0.9285714285714286,14,1.5999999999999996,-0.7000000000000028
SHELLY,15,0.9,20,-2.8000000000000007,-4.0
YOU_(タレント),12,0.9473684210526315,19,4.100000000000001,-1.2999999999999972
あばれる君,14,0.9333333333333333,15,-0.10000000000000142,-0.9000000000000057
いとうあさこ,13,0.8823529411764706,17,-4.100000000000001,0.0
おぎやはぎ,11,0.8928571428571429,28,-4.899999999999999,0.0
おのののか,12,0.875,24,0.6000000000000005,4.400000000000006
かたせ梨乃,13,0.6,10,2.700000000000001,-0.7000000000000028
かまいたち_(お笑いコンビ),4,1.0,6,-0.6000000000000014,-1.4000000000000057
きゃりーぱみゅぱみゅ,7,0.6538461538461539,26,3.0,0.8999999999999915
くっきー!,7,0.9047619047619048,21,-2.5,1.0
さまぁ〜ず,6,0.7647058823529411,17,-3.5,1.3999999999999915
つるの剛士,9,0.7777777777777778,27,0.9000000000000004,1.0999999999999943
でんでん,5,0.5,2,1.4000000000000004,5.5
ともさかりえ,9,0.9787234042553191,47,1.4000000000000004,1.0999999999999943
なえなの,20,0.9024390243902439,41,-0.5,4.600000000000001
はじめしゃちょー,2,0.6,5,-5.1000000000000005,0.5999999999999943
はるな愛,7,1.0,15,-1.3000000000000007,1.7999999999999972
ぺこぱ,10,0.9523809523809523,21,-2.799999999999997,0.8999999999999915
ぼる塾,19,0.8809523809523809,42,2.0,-0.30000000000001137
ゆうたろう_(モデル),5,0.9411764705882353,17,1.2000000000000002,-4.6
ゆりやんレトリィバァ,7,0.7297297297297297,37,0.3000000000000007,-0.8999999999999915
りょう_(女優),7,1.0,12,-1.5999999999999979,2.200000000000003
アンミカ,10,0.92,25,7.100000000000001,0.5
イモトアヤコ,12,1.0,10,1.2999999999999972,-0.20000000000000284
ウエンツ瑛士,10,1.0,15,-3.6999999999999993,1.1000000000000085
ウド鈴木,11,1.0,21,-0.6999999999999993,-0.5
オダギリジョー,10,0.7540983606557377,61,3.0,0.6999999999999886
カズレーザー,14,0.925,40,0.3999999999999986,0.7000000000000028
カンニング竹山,9,0.9230769230769231,26,-0.3000000000000007,0.29999999999999716
