feature,coef
proper_noun_ratio,8166528.012247359
noun_ratio,7573781.431723406
log_pv,1124643.3418903763
token_len,200.16300540804158
char_len,-91.26787794625741
year_count,-1834.4938368033575
section_count,-29892.370764234256
katakana_ratio,-15060919.870238299
