name,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3
おのののか,12,47782,23,104.0,0.6000000000000005,4.400000000000006,5.1,70.3,5.7,74.7,-1.0,25.0,7.0,10.0,37.0,25.0,17.0,62.0,0.0,2.3648212999140854e-06,7.206812778111404,160956.6828117767,18.413986639961266
かたせ梨乃,11,37731,10,62.0,2.700000000000001,-0.7000000000000028,15.4,77.0,18.1,76.3,1.0,7.0,3.0,4.0,18.0,22.0,7.0,40.0,0.0,1.5404819281382645e-05,5.760460185781288,101746.16084616176,11.642347900134768
かまいたち_(お笑いコンビ),4,26001,23,585.0,-0.6000000000000014,-1.4000000000000057,37.9,94.0,37.3,92.6,16.0,443.0,15.0,7.0,420.0,136.0,22.0,556.0,4.766334137439599e-08,0.0024187436431742176,44.252343405108476,1013181.094235393,117.63831603427742
きゃりーぱみゅぱみゅ,6,41042,27,220.0,3.0,0.8999999999999915,12.6,92.4,15.6,93.3,20.0,67.0,16.0,6.0,95.0,66.0,22.0,161.0,4.3419098985549044e-08,0.0004626857610533973,13.942133612730043,335193.59136571817,36.73836319838179
くっきー!,6,17201,22,273.0,-2.5,1.0,21.1,88.0,18.6,89.0,7.0,-40.0,9.0,8.0,65.0,144.0,17.0,209.0,2.2892512270990194e-08,0.00035754983336846086,22.74442238486838,368254.3185230168,44.05011685078824
さまぁ〜ず,5,9361,16,236.0,-3.5,1.3999999999999915,36.6,92.9,33.1,94.3,8.0,81.0,8.0,2.0,109.0,52.0,10.0,161.0,1.8873249092961218e-07,0.0008470300837011777,20.69528707641511,449417.48030288675,48.22285241483318
つるの剛士,7,12207,27,222.0,0.9000000000000004,1.0999999999999943,9.9,89.9,10.8,91.0,41.0,138.0,23.0,4.0,115.0,57.0,27.0,172.0,1.54006447326046e-08,0.00012037359508451746,18.565500518620475,468747.4811452712,44.76851172629806
でんでん,5,8521,2,54.0,1.4000000000000004,5.5,6.9,58.2,8.3,63.7,0.0,42.0,1.0,1.0,31.0,6.0,2.0,37.0,0.0,4.464383709884738e-06,5.631460724036132,73311.21409977491,8.873563434602298
ともさかりえ,9,64444,51,80.0,1.4000000000000004,1.0999999999999943,8.0,75.4,9.4,76.5,55.0,67.0,43.0,6.0,53.0,12.0,49.0,65.0,2.326102496979095e-08,0.00015047895503487102,6.122215633965067,190378.8667038432,17.33485198032511
なえなの,17,28559,58,249.0,-0.5,4.600000000000001,3.2,17.7,2.7,22.3,15.0,87.0,18.0,16.0,97.0,72.0,34.0,169.0,0.0,5.292729183664536e-05,19.58103475779598,496848.4680023233,46.0942199402884
はじめしゃちょー,2,7596,6,256.0,-5.1000000000000005,0.5999999999999943,12.9,63.5,7.8,64.1,8.0,95.0,6.0,0.0,153.0,95.0,6.0,248.0,4.78898217854854e-293,0.00016689188565712927,18.023464870068285,452337.0316286251,46.2682640458557
はるな愛,6,6183,9,81.0,-1.3000000000000007,1.7999999999999972,13.5,92.0,12.2,93.8,2.0,6.0,5.0,3.0,28.0,27.0,8.0,55.0,1.3302349001874525e-08,0.00010378848891154199,7.36118029962773,103045.59969615674,12.962392064571656
ぺこぱ,7,12620,14,179.0,-2.799999999999997,0.8999999999999915,23.9,88.7,21.1,89.6,13.0,38.0,10.0,3.0,82.0,66.0,13.0,148.0,1.2440619788056169e-08,0.00012995212751760915,16.113405006259327,322045.06035267166,37.19577140976649
ぼる塾,16,114741,32,142.0,2.0,-0.30000000000001137,17.5,78.9,19.5,78.6,42.0,150.0,27.0,5.0,116.0,26.0,32.0,142.0,8.940813858543044e-11,0.0014391570331354815,10.596623495685296,255696.05063142252,25.616534919806966
ゆうたろう_(モデル),5,6204,20,99.0,1.2000000000000002,-4.6,0.9,15.9,2.1,11.3,15.0,22.0,11.0,2.0,39.0,22.0,13.0,61.0,0.0,0,6.114193872707781,109696.34825094657,13.561638473795016
ゆりやんレトリィバァ,6,17323,32,202.0,0.3000000000000007,-0.8999999999999915,20.2,90.6,20.5,89.7,-25.0,44.0,8.0,20.0,72.0,62.0,28.0,134.0,4.292691895546531e-10,7.888174579781106e-05,16.610789910372976,384128.1739219302,38.17885374804801
りょう_(女優),7,11586,33,447.0,-1.5999999999999979,2.200000000000003,21.2,72.0,19.6,74.2,14.0,235.0,12.0,2.0,210.0,67.0,14.0,277.0,0.0,0,28.054190170823308,610115.8015368768,60.37492068012981
アンミカ,9,120781,24,248.0,7.100000000000001,0.5,20.7,92.6,27.8,93.1,16.0,173.0,13.0,3.0,160.0,36.0,16.0,196.0,3.031336174187067e-08,0.01257373348607793,19.05708727560012,489523.5828933625,50.75182463153937
イモトアヤコ,10,24932,4,70.0,1.2999999999999972,-0.20000000000000284,35.2,97.7,36.5,97.5,10.0,109.0,4.0,0.0,63.0,7.0,4.0,70.0,4.241165125526645e-08,0.0021920256971831114,5.7069965603700155,129822.72478822619,14.925400295384891
ウエンツ瑛士,9,14220,10,56.0,-3.6999999999999993,1.1000000000000085,20.2,93.1,16.5,94.2,7.0,26.0,6.0,3.0,21.0,7.0,9.0,28.0,2.9247826623647743e-08,0.00013764865008483113,4.605744374956639,133244.35464803857,14.229333793143674
ウド鈴木,9,14525,16,55.0,-0.6999999999999993,-0.5,16.8,92.4,16.1,91.9,23.0,51.0,12.0,3.0,36.0,8.0,15.0,44.0,1.129583413996328e-07,0.00024547625930232625,4.523800112648832,100385.50589511797,10.967590784766521
オダギリジョー,10,74222,84,234.0,3.0,0.6999999999999886,23.5,87.4,26.5,88.1,108.0,135.0,59.0,10.0,103.0,47.0,69.0,150.0,3.962182608758459e-09,0.00016356163531863624,20.14394236603033,384412.78943531646,37.14862743913018
カズレーザー,13,51839,50,254.0,0.3999999999999986,0.7000000000000028,33.6,96.1,34.0,96.8,45.0,118.0,32.0,6.0,121.0,53.0,38.0,174.0,1.160197131970497e-11,0.0001456217470437302,24.00170400389181,498558.92934644525,55.409999649269615
カンニング竹山,8,19146,21,137.0,-0.3000000000000007,0.29999999999999716,16.6,94.0,16.3,94.3,16.0,-25.0,16.0,2.0,34.0,59.0,18.0,93.0,6.261403659021223e-08,0.0006605760637012978,10.780523763454669,202880.31909638166,24.46808511168706
ガンバレルーヤ,12,37521,14,97.0,2.5,0.5,26.9,89.2,29.4,89.7,23.0,78.0,12.0,1.0,65.0,26.0,13.0,91.0,1.939065301870521e-08,0.0003371606119079548,8.885049264266693,196059.96819856472,20.18597689893954
キムラ緑子,6,13302,7,56.0,0.09999999999999964,0.7999999999999972,12.6,52.7,12.7,53.5,0.0,23.0,1.0,2.0,19.0,6.0,3.0,25.0,4.439361841284312e-09,1.861049591086423e-05,4.897708756310076,105262.96298413759,10.204855209780407
ケンドーコバヤシ,6,24481,8,95.0,0.3000000000000007,0.0,22.7,91.9,23.0,91.9,6.0,53.0,6.0,2.0,52.0,18.0,8.0,70.0,1.0825600363567014e-07,0.0012801334469143529,6.565651478001992,132845.8283271471,14.671498784857175
サンシャイン池崎,16,56757,25,80.0,0.29999999999999716,0.0,21.1,91.5,21.4,91.5,30.0,89.0,22.0,2.0,62.0,9.0,24.0,71.0,1.872291976347072e-09,2.524915368121568e-05,6.68576683982046,136834.97038013866,14.190117213859589
サンドウィッチマン_(お笑いコンビ),7,41057,28,233.0,2.6000000000000085,0.19999999999998863,64.8,97.9,67.4,98.1,21.0,206.0,17.0,4.0,158.0,32.0,21.0,190.0,2.1364879679985746e-07,0.004210785492295147,18.25568553457097,413262.61922254955,44.560756682067726
シシド・カフカ,3,7996,3,32.0,0.0,0.0,11.3,60.4,11.3,60.4,4.0,20.0,2.0,0.0,14.0,6.0,2.0,20.0,1.2825781797644006e-08,5.923312422467705e-05,2.2088716699997106,49333.402911007775,5.369621514667145
シソンヌ_(お笑いコンビ),9,50373,29,156.0,3.1000000000000014,2.6000000000000014,20.4,63.9,23.5,66.5,18.0,84.0,19.0,5.0,87.0,32.0,24.0,119.0,1.691575194229249e-08,0.00010612438001008784,12.9154472105644,254315.86745010447,29.989189481169685
タカアンドトシ,8,19947,6,55.0,-0.8999999999999986,-0.29999999999999716,40.0,95.0,39.1,94.7,0.0,48.0,1.0,2.0,34.0,9.0,3.0,43.0,1.1884926488857016e-07,0.0009294772277694701,5.842188673882319,94188.93748008822,12.098739066285283
タモリ,13,67548,58,278.0,-2.700000000000003,0.0,42.7,96.6,40.0,96.6,26.0,57.0,29.0,9.0,104.0,65.0,38.0,169.0,3.2172337623500804e-07,0.0044477096657128965,27.00862652996121,628512.7212412701,60.192353251587456
ダレノガレ明美,13,24218,30,101.0,1.3999999999999995,1.2999999999999972,6.7,83.5,8.1,84.8,14.0,71.0,18.0,10.0,67.0,26.0,28.0,93.0,3.747369718132891e-10,3.327455269668337e-05,7.251902213731339,171247.41027366766,19.725539167717773
チョコレートプラネット,13,50161,47,183.0,-0.8999999999999986,0.3999999999999915,41.8,89.7,40.9,90.1,55.0,225.0,39.0,5.0,154.0,17.0,44.0,171.0,3.1017716666897124e-09,0.0002866751658280854,15.250999084528152,312206.188676973,33.95382711774547
ティモンディ,16,110273,72,195.0,-1.7999999999999972,5.099999999999994,20.9,75.4,19.1,80.5,107.0,266.0,63.0,8.0,166.0,28.0,71.0,194.0,3.130732028066244e-10,5.9608756646809155e-05,16.379684924395324,515271.9538279472,44.7022408313952
ディーン・フジオカ,3,16904,10,152.0,1.6000000000000014,0.7000000000000028,20.5,86.2,22.1,86.9,12.0,188.0,8.0,2.0,125.0,20.0,10.0,145.0,9.364626995150988e-09,0.0001390915854885826,11.33171925959266,290716.7872704221,29.36688881854381
トラウデン直美,19,89924,22,104.0,0.5,-0.30000000000000426,4.6,39.6,5.1,39.3,7.0,19.0,9.0,7.0,40.0,25.0,16.0,65.0,0.0,0.00011019309190787406,8.620982443190407,221005.31290506295,23.058042543735215
トリンドル玲奈,10,57328,35,134.0,-0.7000000000000011,-1.0,13.8,78.9,13.1,77.9,42.0,185.0,29.0,2.0,119.0,7.0,31.0,126.0,0.0,1.1446326440309766e-05,11.529349084466812,272285.7767669609,29.77839651958368
