name,weighted_pv
3時のヒロイン,42482.395654645275
Cocomi,57782.301671582456
DAIGO,35572.257446997864
EXIT_(お笑いコンビ),24722.274267430206
HIKAKIN,43910.845058846025
IKKO,15268.576523107617
IMALU,13374.590259301533
JO1,103322.16000243952
LiLiCo,14700.6314576051
MEGUMI,19030.553728032453
RIKACO,11284.958383554422
SHELLY,7138.12325531834
YOU_(タレント),18551.32304180624
あばれる君,10083.704343106643
いとうあさこ,13972.873397594492
おぎやはぎ,10471.594875982539
おのののか,26400.926425217127
かたせ梨乃,20535.25640043326
かまいたち_(お笑いコンビ),64871.09769619583
きゃりーぱみゅぱみゅ,25637.66205535156
くっきー!,14840.694506219013
さまぁ〜ず,12534.33414949791
つるの剛士,8692.755419150692
でんでん,7034.532016455517
ともさかりえ,26649.596764181028
なえなの,16712.890877560498
はじめしゃちょー,21762.792899384833
はるな愛,6908.918028220305
ぺこぱ,11179.60865226181
ぼる塾,42978.39776088204
ゆうたろう_(モデル),10603.29960198187
ゆりやんレトリィバァ,11138.449864028997
りょう_(女優),9453.330256148029
アンミカ,57088.282493143364
イモトアヤコ,9820.54005672868
ウエンツ瑛士,6231.864441831872
ウド鈴木,7869.008171511865
オダギリジョー,16227.315928319698
カズレーザー,35197.45221701075
カンニング竹山,13399.383345053833
ガンバレルーヤ,12051.458176056725
キムラ緑子,7230.292656354415
ケンドーコバヤシ,33626.681216555386
サンシャイン池崎,13151.637114818303
サンドウィッチマン_(お笑いコンビ),38969.091968852175
シシド・カフカ,5037.031049123991
シソンヌ_(お笑いコンビ),38803.93073433472
タカアンドトシ,14179.200626513088
タモリ,38353.45579961561
ダレノガレ明美,12011.757328339569
チョコレートプラネット,32824.231696487244
ティモンディ,42759.151527941984
ディーン・フジオカ,24364.918673891458
トラウデン直美,16697.341731519922
トリンドル玲奈,33719.69454643882
トータス松本,4771.7996386336845
ナイツ_(お笑いコンビ),14770.833736363202
バカリズム,48082.766936706685
ヒコロヒー,84871.23618375268
ヒロミ,20002.738431273796
ビビる大木,6430.499769494626
ビートたけし,40339.02510566461
ファーストサマーウイカ,36854.5194571818
フワちゃん,41046.65820979531
ブラックマヨネーズ,8637.586767211813
ベッキー,13704.278598234916
ホラン千秋,49899.59002088505
マキタスポーツ,11241.673092954665
マギー_(モデル),12504.068241198298
マツコ・デラックス,32045.69726842928
ミキ_(お笑いコンビ),16334.01938057121
ミルクボーイ,11977.795745984444
ムロツヨシ,20325.2071362083
ユースケ・サンタマリア,9014.259200932172
リリー・フランキー,14544.977498305328
ローラ_(モデル),8946.504444014608
一ノ瀬颯,22245.06151631746
三吉彩花,27187.88703963688
三宅弘城,4297.032481056004
三宅裕司,6242.695678410426
三戸なつめ,2633.970688264441
三浦友和,16297.083182385124
三浦知良,42225.72333683672
三浦翔平,15474.92272187845
三浦貴大,20575.579442199713
三浦透子,30574.390751082865
上地雄輔,10269.865052205194
上川隆也,24404.589569371252
上戸彩,30257.519259482593
上田晋也,13551.335204611356
上白石萌歌,58226.106790713726
上白石萌音,76609.69880336168
上野樹里,27073.611494517747
与田祐希,24419.758908846274
中丸雄一,17818.114517204416
中井貴一,21594.660272723348
中尾明慶,29551.72848366526
