name,pop_diff_past,aware_diff_past,201902人気度,201902知名度,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3,weightedPV1,weightedPV2,weightedPV3,weightedPV4,weightedPV5,allPV,burst_weightedPV1,burst_weightedPV5
DAIGO,-4.5,-2.1,38.1,97.7,2,14426,12,242.0,-4.0,-0.5999999999999943,33.6,95.6,29.6,95.0,8.0,133.0,9.0,3.0,146.0,50.0,12.0,196.0,5.899215534178694e-08,0.0011509351336392068,19.63424171082374,499995.3645982986,44.510459131298134,58888.057230242805,140506.03974427728,35572.257446997864,3426.0762196391006,91884.84865280989,294317,2967.8558292549133,5050.7801171271685
HIKAKIN,8.5,15.4,11.3,73.1,2,15019,15,208.0,-5.300000000000001,-1.0999999999999943,19.8,88.5,14.5,87.4,8.0,119.0,7.0,7.0,118.0,85.0,14.0,203.0,1.8872714854909925e-292,0.0006048415627755797,14.361201219232623,373626.5928954962,36.76433079784172,79795.82693834616,188840.64627991596,43910.845058846025,3680.37930548239,120746.96438763138,402639,2093.0912430211656,3132.0405065052037
IKKO,1,1.1,28,97.3,9,23170,19,71.0,-0.1999999999999993,-0.9000000000000057,29.0,98.4,28.8,97.5,11.0,34.0,12.0,6.0,41.0,24.0,18.0,65.0,0.0,2.18811345665028e-05,5.6065680197365735,135252.948217946,15.314460804825647,17962.919380801704,43904.226777785414,15268.576523107617,2058.2043635109803,30901.369381016728,87594,4905.064705248524,8682.674589234526
IMALU,0.2,-5.5,5.5,83.4,11,38867,45,256.0,-0.20000000000000018,-0.20000000000000284,5.7,77.9,5.5,77.7,-7.0,-91.0,14.0,23.0,49.0,146.0,37.0,195.0,9.503392090912201e-10,3.4059069999332794e-05,18.613573074421705,289523.13584099663,43.201503556617496,22377.55302021771,53341.332214097805,13374.590259301533,1205.1710681903799,34727.85281422106,111943,8300.24488167381,13605.415173810523
LiLiCo,0.2,1.4,20.7,86.9,23,52839,35,150.0,2.6000000000000014,-1.5999999999999943,20.9,88.3,23.5,86.7,-3.0,54.0,11.0,10.0,67.0,33.0,21.0,100.0,7.777515305889965e-179,2.872375419774314e-05,13.67940400663021,205978.12274888405,24.858693750232977,27558.03398498219,65364.305880446576,14700.6314576051,742.0733096707611,41452.62527682643,138273,7945.593511401889,11425.005924364092
MEGUMI,5.7,-2.1,10.8,77.5,12,149880,0,0.0,0.8000000000000007,-1.9000000000000057,16.5,75.4,17.3,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.057109461306383e-08,0.0005446668350372702,0,0,0,72903.35675925745,167306.27449849664,19030.553728032453,1618.8543972074708,99247.27435998792,380308,23413.127743517623,29385.3337075373
SHELLY,2.8,0,18.8,84.2,13,34482,4,35.0,-2.8000000000000007,-4.0,21.6,84.2,18.8,80.2,1.0,11.0,2.0,1.0,15.0,10.0,3.0,25.0,5.3094968073915455e-09,2.0455484499288372e-05,3.1681211164116125,67011.11292739776,7.30003162720095,23485.36842080423,54142.99454984542,7138.12325531834,772.4118536358883,32645.091756258862,122049,9617.50015078948,11985.753697187649
YOU_(タレント),-0.4,-1,22.3,89,9,37380,57,600.0,4.100000000000001,-1.2999999999999972,21.9,88.0,26.0,86.7,-3.0,44.0,4.0,8.0,71.0,52.0,12.0,123.0,3.006639531808217e-08,0.00040588346994607235,40.952554544466814,622651.3561714292,60.408877080874646,36829.64503717711,86977.7295367446,18551.32304180624,1424.150290438587,55147.59179785874,186038,6330.776030261176,8105.329561668547
あばれる君,6.5,2.7,16.3,92,12,31146,14,64.0,-0.10000000000000142,-0.9000000000000057,22.8,94.7,22.7,93.8,10.0,45.0,7.0,1.0,40.0,12.0,8.0,52.0,0.0,5.830734347212943e-06,7.163338828614369,100930.83380744504,13.207488603649283,19792.429707112642,46663.26043361365,10083.704343106643,894.1876019304909,29607.673632033737,100304,5994.191233329669,9044.325426574645
いとうあさこ,4.6,-1.4,35.6,96.3,9,38475,18,234.0,-4.100000000000001,0.0,40.2,94.9,36.1,94.9,8.0,12.0,8.0,3.0,60.0,73.0,11.0,133.0,3.174055906471117e-08,0.000360400324981277,19.258654997247625,431801.0766440856,54.12185117479723,30600.74066156587,71488.84148152472,13972.873397594492,833.7414688272779,44053.311891583115,156650,9038.77816683412,11995.227086443963
