name,weighted_pv
3時のヒロイン,123910.09525175033
Cocomi,134644.44638348333
DAIGO,91884.84865280989
EXIT_(お笑いコンビ),69453.08961132834
HIKAKIN,120746.96438763138
IKKO,30901.369381016728
IMALU,34727.85281422106
JO1,238750.40455685568
LiLiCo,41452.62527682643
MEGUMI,99247.27435998792
RIKACO,27320.72530406461
SHELLY,32645.091756258862
YOU_(タレント),55147.59179785874
あばれる君,29607.673632033737
いとうあさこ,44053.311891583115
おぎやはぎ,33446.346945719255
おのののか,36123.96411553782
かたせ梨乃,52041.161088991714
かまいたち_(お笑いコンビ),145509.57740049018
きゃりーぱみゅぱみゅ,56374.58910863599
くっきー!,38000.35952068212
さまぁ〜ず,35876.9573369685
つるの剛士,26342.519779785758
でんでん,24048.13781245548
ともさかりえ,53058.543560236634
なえなの,33865.44433840125
はじめしゃちょー,65280.57854141621
はるな愛,19109.156716475132
ぺこぱ,32424.526621810375
ぼる塾,126200.62665041885
ゆうたろう_(モデル),25559.281771651327
ゆりやんレトリィバァ,30453.442309801503
りょう_(女優),26927.99643823805
アンミカ,147035.94655785093
イモトアヤコ,37349.68378825145
ウエンツ瑛士,23458.235376685614
ウド鈴木,23221.779764150197
オダギリジョー,76936.43796800118
カズレーザー,97107.5300858068
カンニング竹山,35765.00292305407
ガンバレルーヤ,38103.981765827826
キムラ緑子,26262.67046312256
ケンドーコバヤシ,59528.45361204665
サンシャイン池崎,47371.55256036965
サンドウィッチマン_(お笑いコンビ),101033.54616476505
シシド・カフカ,18372.663404003437
シソンヌ_(お笑いコンビ),98296.69021808651
タカアンドトシ,40958.070738457005
タモリ,105967.00610380455
ダレノガレ明美,28599.112301442197
チョコレートプラネット,80867.34444489925
ティモンディ,100949.65442799783
ディーン・フジオカ,63889.69305123931
トラウデン直美,69161.62754582694
トリンドル玲奈,77298.53063020585
トータス松本,18901.188133911783
ナイツ_(お笑いコンビ),38455.476579871014
バカリズム,87162.7758883899
ヒコロヒー,207815.13294864874
ヒロミ,53572.916583785
ビビる大木,19806.838759687358
ビートたけし,105578.50474953392
ファーストサマーウイカ,101184.27468396664
フワちゃん,120863.16815661098
ブラックマヨネーズ,21570.59390968969
ベッキー,42235.003462273744
ホラン千秋,123490.94006660668
マキタスポーツ,28342.67290262318
マギー_(モデル),25512.215040452167
マツコ・デラックス,89632.45811399585
ミキ_(お笑いコンビ),44458.41315677938
ミルクボーイ,31603.66054917731
ムロツヨシ,59060.40871416444
ユースケ・サンタマリア,30237.365293133025
リリー・フランキー,38935.49185061482
ローラ_(モデル),31844.596019358065
一ノ瀬颯,47426.420543412096
三吉彩花,63354.451543597745
三宅弘城,13296.988474890435
三宅裕司,24092.391185704873
三戸なつめ,11742.51176365738
三浦友和,55024.998829696604
三浦知良,119871.59694707666
三浦翔平,52501.41078737458
三浦貴大,58791.4559329753
三浦透子,104240.93564300828
上地雄輔,38183.17270619007
上川隆也,64825.51203626773
上戸彩,79061.86326817352
上田晋也,40161.650366732116
上白石萌歌,127184.91698769404
上白石萌音,170009.46761611383
上野樹里,80023.45843330226
与田祐希,64735.2171336344
中丸雄一,65971.1126816778
中井貴一,79585.78244193736
中尾明慶,77733.89765149161
中居正広,173670.03535217923
中山秀征,42121.93468162043
中山美穂,102287.19663046533
中島セナ,3632.6158383355296
中島健人,94275.35620556033
中島裕翔,90309.134254475
中川大志_(俳優),234402.04978557336
中川翔子,107350.71534621208
中村ゆり,214251.50851352658
中村ゆりか,29087.614726377684
中村アン,99781.42238536685
中村俊介,18617.943791025806
中村倫也,128098.37790504674
中村勘九郎_(6代目),31859.164127028573
中村獅童_(2代目),44919.44203529972
中村隼人,942.7879727400883
中村雅俊,43194.690807849416
中村静香,47763.85820514636
中条あやみ,107751.73442879636
中田圭祐,15734.009199706794
中谷美紀,55425.02686617318
中越典子,28186.798889201218
丸山桂里奈,51222.74041715294
丸山隆平,19621.278005181084
久保田紗友,42441.30040414002
久本雅美,27708.402232001714
久間田琳加,53403.26203297243
乙葉,27276.764154989734
亀梨和也,48275.33930961597
二宮和也,127787.39104949254
二階堂ふみ,60540.30955970324
井ノ原快彦,62877.3623428165
井上咲楽,54904.74607098827
井上真央,183198.69175622033
井上祐貴,41495.07536793979
井之脇海,131002.97544947057
井川遥,81540.12206263725
井手上漠,59552.952297879805
井本彩花,33277.688383090106
井桁弘恵,140186.6285853107
井森美幸,21793.314022453247
井浦新,89137.97445783095
今井翼,30050.962361704205
今田美桜,129112.44349321794
今田耕司,51664.939737696215
今野浩喜,30600.713484879194
仲村トオル,47915.10893549879
仲里依紗,128322.08290061768
仲野太賀,106006.16630710408
仲間由紀恵,76704.08078953925
伊原六花,102274.03203103342
伊原剛志,25312.6754550138
伊武雅刀,43563.2151446582
伊沢拓司,59505.35438967728
伊藤あさひ,9391.410976134319
伊藤歩,65014.562097656
伊藤沙莉,149443.77286780105
伊藤淳史,30724.222708532896
伊藤英明,189457.8926531295
伊野尾慧,37259.58561237954
伊集院光,59066.935934874986
佐々木希,63609.930985551444
佐々木蔵之介,54898.7448778392
