name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
柄本佑,-1.8000000000000007,1.7000000000000028,0,152,0,0,22.7,75.8,20.9,77.5
柄本時生,0.6000000000000014,2.5,0,102,0,0,12.7,76.3,13.3,78.8
遠藤憲一,-2.5,-0.9000000000000057,0,184,0,0,41.6,92.4,39.1,91.5
遠藤章造,1.0,2.299999999999997,0,71,0,0,8.7,80.2,9.7,82.5
及川光博,1.3999999999999986,0.30000000000001137,0,119,0,0,25.5,89.6,26.9,89.9
大泉洋,1.4000000000000057,-0.30000000000001137,0,210,0,0,50.8,95.9,52.2,95.6
大倉孝二,-4.0,2.3000000000000043,0,63,0,0,13.6,58.8,9.6,61.1
大倉忠義,-0.6999999999999993,1.0999999999999943,0,88,0,0,12.2,64.4,11.5,65.5
大沢たかお,3.1999999999999993,3.9000000000000057,0,109,0,0,20.2,79.3,23.4,83.2
太田光,-7.0,0.5,0,210,0,0,20.5,91.5,13.5,92
大谷翔平,-3.700000000000003,0.5,0,210,0,0,59.5,96.5,55.8,97
大谷亮平,-1.6999999999999993,-1.5999999999999943,0,88,0,0,15,71.3,13.3,69.7
大森南朋,1.0,3.700000000000003,0,171,0,0,16.5,72.2,17.5,75.9
岡田圭右,-0.1999999999999993,0.9000000000000057,0,198,0,0,10.6,84.6,10.4,85.5
岡田准一,4.100000000000001,2.299999999999997,0,202,0,0,36.8,90.8,40.9,93.1
岡田将生,-1.4000000000000021,3.5999999999999943,0,199,0,0,22.8,75,21.4,78.6
岡村隆史,-2.5,0.8999999999999915,0,210,0,0,31.7,95.2,29.2,96.1
岡山天音,0.20000000000000018,6.200000000000003,0,132,0,0,6.2,41.9,6.4,48.1
奥田瑛二,-0.5999999999999996,1.3999999999999915,0,62,0,0,7.3,63.7,6.7,65.1
奥平大兼,-1.1,-2.0,0,190,0,0,1.6,10.1,0.5,8.1
小栗旬,2.799999999999997,1.1999999999999886,0,210,0,0,38.1,92.4,40.9,93.6
小澤征悦,1.799999999999999,-1.8000000000000114,0,74,0,0,10.8,81.4,12.6,79.6
織田裕二,-1.2000000000000028,0.9000000000000057,0,70,0,0,22.1,88.3,20.9,89.2
オダギリジョー,3.0,0.6999999999999886,0,210,0,0,23.5,87.4,26.5,88.1
音尾琢真,-0.5,0.8000000000000007,0,185,0,0,3.5,18.8,3,19.6
尾上松也,1.4000000000000004,2.299999999999997,0,210,0,0,11.5,74.3,12.9,76.6
香川照之,-18.400000000000002,2.0,0,160,0,0,39.6,90.4,21.2,92.4
賀来賢人,1.6000000000000014,-0.20000000000000284,0,183,0,0,33.6,85.3,35.2,85.1
角田晃広,1.4000000000000021,5.200000000000003,0,64,0,0,20.9,69,22.3,74.2
筧利夫,4.6,2.1000000000000085,0,62,0,0,10.1,76.1,14.7,78.2
風間俊介,8.2,4.099999999999994,0,189,0,0,22.8,83.5,31,87.6
笠松将,-0.6999999999999997,-1.8999999999999986,0,88,0,0,3.4,29.2,2.7,27.3
春日俊彰,-0.7000000000000028,0.09999999999999432,0,148,0,0,24.6,96.5,23.9,96.6
カズレーザー,0.3999999999999986,0.7000000000000028,0,210,0,0,33.6,96.1,34,96.8
加瀬亮,2.0,5.699999999999996,0,60,0,0,8.3,53.6,10.3,59.3
片岡愛之助,0.7000000000000011,2.5999999999999943,0,121,0,0,11.2,82.5,11.9,85.1
片桐仁,-1.6999999999999993,2.5999999999999943,0,72,0,0,13.6,69.4,11.9,72
片寄涼太,-1.6000000000000005,9.5,0,128,0,0,6.4,36.5,4.8,46
勝地涼,0.5999999999999996,1.4000000000000057,0,88,0,0,6.5,76.8,7.1,78.2
勝俣州和,-1.1000000000000014,2.0,0,93,0,0,13.3,85.1,12.2,87.1
勝村政信,-0.40000000000000036,4.400000000000006,0,75,0,0,14,75.8,13.6,80.2
加藤浩次,1.1000000000000014,0.29999999999999716,0,193,0,0,20.5,92.4,21.6,92.7
加藤清史郎,-0.40000000000000036,1.5999999999999943,0,112,0,0,10.3,72.9,9.9,74.5
加藤諒,-1.6000000000000014,-0.20000000000000284,0,85,0,0,14.3,88,12.7,87.8
香取慎吾,-3.0,0.30000000000001137,0,210,0,0,28,95.6,25,95.9
要潤,1.9000000000000004,0.0,0,199,0,0,14.9,86,16.8,86
金子大地,0.09999999999999987,3.9000000000000004,0,144,0,0,1.1,9,1.2,12.9
金子ノブアキ,0.2999999999999998,2.5,0,60,0,0,6.4,41.2,6.7,43.7
川平慈英,-0.6999999999999993,3.8999999999999915,0,46,0,0,15.2,84.4,14.5,88.3
神尾楓珠,-1.0000000000000009,-1.1000000000000014,0,186,0,0,8.3,38.6,7.3,37.5
上川隆也,0.10000000000000142,-0.20000000000000284,0,92,0,0,17.2,73.3,17.3,73.1
神木隆之介,-0.8999999999999986,-0.9000000000000057,0,161,0,0,33.8,89.2,32.9,88.3
上地雄輔,2.0,1.9000000000000057,0,119,0,0,8.8,85.5,10.8,87.4
亀梨和也,-2.6999999999999993,-1.0,0,131,0,0,21.8,93.6,19.1,92.6
唐沢寿明,0.3999999999999986,3.0999999999999943,0,98,0,0,30.8,84.2,31.2,87.3
河合郁人,5.0,3.6000000000000014,0,210,0,0,10.8,61.4,15.8,65
川島明,2.3000000000000007,0.8999999999999915,0,202,0,0,25.8,86.4,28.1,87.3
神田正輝,-0.20000000000000018,1.8999999999999915,0,50,0,0,6.9,75.4,6.7,77.3
カンニング竹山,-0.3000000000000007,0.29999999999999716,0,131,0,0,16.6,94,16.3,94.3
菊池風磨,2.1999999999999993,3.6999999999999886,0,210,0,0,22.8,64.4,25,68.1
岸優太,4.099999999999998,5.499999999999993,0,207,0,0,17.3,59.1,21.4,64.6
岸谷五朗,0.09999999999999964,1.0999999999999943,0,65,0,0,13.5,75.4,13.6,76.5
岸部一徳,2.8000000000000007,1.8999999999999915,0,62,0,0,19.3,86.2,22.1,88.1
北大路欣也,4.799999999999997,2.5,0,92,0,0,21.6,87.6,26.4,90.1
北村一輝,-1.5,2.799999999999997,0,153,0,0,27.3,83,25.8,85.8
北村匠海,3.0,6.0,0,195,0,0,21.8,68,24.8,74
北村有起哉,1.3999999999999995,5.599999999999994,0,72,0,0,5.7,43.2,7.1,48.8
北山宏光,0.5,1.8000000000000043,0,93,0,0,4.6,58.4,5.1,60.2
吉川晃司,3.1999999999999993,-0.6000000000000085,0,152,0,0,16.8,80.2,20,79.6
木梨憲武,-2.599999999999998,0.8999999999999915,0,116,0,0,29.9,92.4,27.3,93.3
木村昴,3.0,10.5,0,210,0,0,14.3,57.3,17.3,67.8
木村拓哉,2.900000000000002,1.7000000000000028,0,210,0,0,31.3,96.5,34.2,98.2
桐谷健太,1.1999999999999993,3.1999999999999886,0,123,0,0,24.6,86.9,25.8,90.1
桐山漣,-0.40000000000000036,0.0,0,60,0,0,5,28.3,4.6,28.3
草刈正雄,1.4000000000000021,2.700000000000003,0,100,0,0,23.7,86,25.1,88.7
草彅剛,-3.200000000000003,0.09999999999999432,0,210,0,0,27.6,94.2,24.4,94.3
くっきー!,-2.5,1.0,0,205,0,0,21.1,88,18.6,89
工藤阿須加,-3.5,-2.0999999999999943,0,77,0,0,15.9,65.8,12.4,63.7
國村隼,-0.1999999999999993,3.0,0,63,0,0,16.8,78.9,16.6,81.9
窪田正孝,-2.1999999999999993,1.2000000000000028,0,184,0,0,23.4,78.8,21.2,80
黒羽麻璃央,0.20000000000000007,2.0,0,210,0,0,0.9,8.8,1.1,10.8
桑田佳祐,3.1999999999999957,1.6000000000000085,0,193,0,0,42.1,91.3,45.3,92.9
劇団ひとり,-3.400000000000002,0.0,0,210,0,0,30.3,94,26.9,94
ケンドーコバヤシ,0.3000000000000007,0.0,0,107,0,0,22.7,91.9,23,91.9
小池徹平,-0.9000000000000004,3.200000000000003,0,116,0,0,15.9,83.7,15,86.9
小泉孝太郎,-1.0,1.1000000000000085,0,124,0,0,21.9,91.3,20.9,92.4
郷ひろみ,2.5,1.0999999999999943,0,194,0,0,15,92.4,17.5,93.5
