name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
上白石萌歌,-2.8000000000000007,-1.5,184,210,197,13,19.3,79.6,16.5,78.1
上白石萌音,-1.9000000000000021,-1.6000000000000085,196,210,203,7,24.6,84.4,22.7,82.8
茅島みずき,-0.29999999999999993,0.0,61,65,63,2,0.7,3.7,0.4,3.7
河合優実,0.0,-0.9,135,161,148,13,0.2,1.8,0.2,0.9
川栄李奈,0.6000000000000014,2.0,176,210,193,17,18.2,69.2,18.8,71.2
河北麻友子,-0.9000000000000004,-3.0,99,109,104,5,16.3,78.2,15.4,75.2
川口春奈,6.0000000000000036,2.799999999999997,176,210,193,17,29.2,76.5,35.2,79.3
川島海荷,-0.1999999999999993,-0.29999999999999716,80,108,94,14,7.6,55.9,7.4,55.6
川津明日香,0.0,0.20000000000000018,66,76,71,5,0.4,2.8,0.4,3
貫地谷しほり,0.6999999999999993,-1.4000000000000057,71,77,74,3,14.5,69.4,15.2,68
菅野美穂,-1.0,-2.3999999999999915,54,82,68,14,30.6,85.1,29.6,82.7
菅野莉央,-0.5,0.0,41,45,43,2,0.5,2.3,0,2.3
菊池桃子,-0.6999999999999993,0.6999999999999886,59,83,71,12,13.6,71.9,12.9,72.6
岸井ゆきの,3.4000000000000004,7.599999999999998,173,209,191,18,7.6,26.2,11,33.8
貴島明日香,0.5999999999999996,6.200000000000003,126,158,142,16,10.4,36.5,11,42.7
岸本加世子,3.7,-1.8000000000000114,21,27,24,3,7.3,66.9,11,65.1
北川景子,4.199999999999996,-0.9000000000000057,176,210,193,17,41.1,92.4,45.3,91.5
北乃きい,-1.5999999999999996,0.7000000000000028,58,72,65,7,11.5,73.5,9.9,74.2
吉瀬美智子,-1.3999999999999986,0.7999999999999972,99,109,104,5,26.2,75,24.8,75.8
木南晴夏,4.100000000000001,7.800000000000004,104,108,106,2,12.7,45.3,16.8,53.1
木村カエラ,0.3000000000000007,-1.7000000000000028,103,111,107,4,13.5,84.2,13.8,82.5
木村多江,-1.0,1.2000000000000028,65,83,74,9,25.8,80.2,24.8,81.4
木村文乃,1.8999999999999986,1.7000000000000028,134,160,147,13,21.8,69.6,23.7,71.3
キムラ緑子,0.09999999999999964,0.7999999999999972,42,70,56,14,12.6,52.7,12.7,53.5
木村佳乃,-1.3999999999999986,-1.2000000000000028,67,89,78,11,29.9,75.9,28.5,74.7
きゃりーぱみゅぱみゅ,3.0,0.8999999999999915,144,202,173,29,12.6,92.4,15.6,93.3
清原果耶,4.300000000000001,4.799999999999997,140,204,172,32,14.5,46.7,18.8,51.5
桐谷美玲,0.5,-0.20000000000000284,150,164,157,7,20.4,80.2,20.9,80
草刈民代,0.5,-0.9000000000000057,47,49,48,1,10.1,69.4,10.6,68.5
工藤美桜,0.0,2.0999999999999996,170,194,182,12,1.8,7.6,1.8,9.7
国仲涼子,1.1999999999999993,-2.299999999999997,38,46,42,4,11.9,65,13.1,62.7
久保田紗友,0.09999999999999987,1.4000000000000004,49,63,56,7,1.8,8,1.9,9.4
久間田琳加,0.40000000000000036,2.0999999999999996,146,174,160,14,2.8,9.4,3.2,11.5
倉科カナ,-4.199999999999999,-0.10000000000000853,124,138,131,7,20.7,67.4,16.5,67.3
栗山千明,0.1999999999999993,-1.1999999999999886,63,79,71,8,16.1,73.1,16.3,71.9
黒木華,1.2999999999999972,-2.299999999999997,129,161,145,16,22.1,74.5,23.4,72.2
黒木瞳,-1.8000000000000007,-0.7999999999999972,69,85,77,8,19.3,83.5,17.5,82.7
黒沢かずこ,7.900000000000002,6.400000000000006,40,66,53,13,17.2,86.5,25.1,92.9
黒島結菜,1.4000000000000004,15.900000000000002,139,169,154,15,7.6,29.2,9,45.1
黒谷友香,-2.8999999999999995,-1.3999999999999986,53,73,63,10,9.6,60.5,6.7,59.1
小池栄子,6.400000000000006,-0.7000000000000028,134,184,159,25,36.3,91.7,42.7,91
Cocomi,2.3000000000000003,8.700000000000003,166,210,188,22,3.9,54,6.2,62.7
小芝風花,0.6999999999999993,2.5,158,210,184,26,17.5,54.7,18.2,57.2
小嶋陽菜,0.1999999999999993,2.6000000000000014,165,181,173,8,8.5,61.1,8.7,63.7
小西桜子,0.0,-1.7999999999999998,35,39,37,2,0.5,4.1,0.5,2.3
小西真奈美,-2.5,-1.0,37,49,43,6,20.4,72.7,17.9,71.7
小林聡美,0.3999999999999986,0.30000000000000426,46,56,51,5,16.8,63.9,17.2,64.2
小松菜奈,0.5,0.8999999999999915,138,180,159,21,20.4,66.9,20.9,67.8
小雪,0.0,1.2999999999999972,114,148,131,17,13.1,81.2,13.1,82.5
近藤春菜,1.1999999999999993,0.5,127,163,145,18,29.6,96.5,30.8,97
紺野彩夏,0.40000000000000013,0.40000000000000036,103,127,115,12,0.7,5.1,1.1,5.5
紺野まひる,-0.6999999999999997,1.8000000000000007,23,31,27,4,2.8,26,2.1,27.8
紺野美沙子,-0.39999999999999947,1.8000000000000043,26,38,32,6,7.1,53.8,6.7,55.6
財前直見,-0.6999999999999993,-0.8999999999999915,54,62,58,4,12.7,67.6,12,66.7
齋藤飛鳥,-1.0999999999999996,6.899999999999999,178,208,193,15,11.9,51.5,10.8,58.4
斉藤由貴,0.3000000000000007,0.0,109,137,123,14,11,76.6,11.3,76.6
紗栄子,2.2,2.299999999999997,162,204,183,21,4.2,65.5,6.4,67.8
坂井真紀,-1.200000000000001,-1.999999999999993,57,65,61,4,12.4,64.1,11.2,62.1
酒井美紀,-1.8000000000000007,-1.2999999999999972,51,59,55,4,8.3,58.8,6.5,57.5
酒井若菜,-0.7000000000000002,-3.5,38,50,44,6,6.4,43.7,5.7,40.2
榊原郁恵,6.899999999999999,0.6000000000000085,93,101,97,4,16.5,82.8,23.4,83.4
坂下千里子,2.5,-1.1000000000000085,41,61,51,10,9,75.4,11.5,74.3
坂ノ上茜,-0.29999999999999993,-0.09999999999999964,61,73,67,6,0.7,2.8,0.4,2.7
佐久間由衣,-0.20000000000000018,9.200000000000003,75,91,83,8,6.9,25.5,6.7,34.7
桜井日奈子,-1.5,2.5,79,101,90,11,9.6,43.9,8.1,46.4
桜井ユキ,-0.1999999999999993,1.3000000000000007,107,119,113,6,9.2,29.9,9,31.2
桜田ひより,5.1000000000000005,7.799999999999999,137,157,147,10,2.3,15.6,7.4,23.4
桜庭ななみ,-1.6000000000000005,-2.6999999999999957,70,86,78,8,4.4,38.8,2.8,36.1
佐々木希,-2.6999999999999993,-1.8999999999999915,169,195,182,13,23.4,82.3,20.7,80.4
指原莉乃,-0.1999999999999993,-0.7000000000000028,168,210,189,21,25.5,92.2,25.3,91.5
佐藤栞里,3.700000000000003,3.5,126,138,132,6,29,72.4,32.7,75.9
佐藤玲,-0.19999999999999996,0.3999999999999999,100,114,107,7,0.7,3.5,0.5,3.9
佐野ひなこ,-0.7000000000000002,0.3000000000000007,71,77,74,3,4.2,28.5,3.5,28.8
